#{"t_start": 1682725865.9866734, "env_id": null}
r,l,t
-2.7,58,1235.668804
-2.1,52,1238.987361
1.3,18,1240.289175
-3.8,69,1244.559396
-18.0,180,1255.525928
-12.8,159,1265.24123
1.2,19,1266.65326
2.2,9,1267.450404
-8.0,111,1274.214723
-5.8,89,1279.701204
-12.2,153,1289.116274
1.4,17,1290.357952
0.9,22,1291.882039
1.5,16,1293.078905
-5.5,86,1298.518586
1.1,20,1299.949759
-6.5,96,1305.790371
-1.5,46,1308.724495
0.2,29,1310.664054
-18.0,180,1321.617103
0.6,25,1323.398707
-2.4,55,1326.874833
0.6,25,1328.605705
-2.8,59,1332.332887
-2.4,55,1335.951181
1.6,15,1337.042649
-3.6,67,1341.248703
-11.3,144,1349.951361
-2.6,57,1353.58473
-6.1,92,1359.353548
-18.0,180,1370.08937
1.2,19,1371.437847
-6.7,98,1377.638055
-13.5,166,1387.708517
-6.6,97,1393.711608
0.3,28,1395.527053
-1.3,44,1398.405816
-8.9,120,1405.738789
1.2,19,1407.098848
-2.0,51,1410.353121
-2.2,53,1413.652832
-18.0,180,1424.381027
0.6,25,1426.147977
1.6,15,1427.288394
-18.0,180,1438.399246
-4.3,74,1443.017681
-2.5,56,1446.576193
-11.3,144,1455.303556
-18.0,180,1466.053224
1.6,15,1467.171718
-7.9,110,1473.941432
-2.8,59,1477.740863
-8.7,118,1485.051821
2.2,9,1485.847739
-7.1,102,1492.117829
-2.2,53,1495.635309
-4.8,79,1500.546369
1.6,15,1501.678065
-1.6,47,1504.700835
-9.4,125,1512.362554
-14.5,176,1523.251955
-18.0,180,1534.046949
1.0,21,1535.531347
-2.3,54,1538.911011
-18.0,180,1549.868374
-0.6,37,1552.342945
-0.8,39,1554.93427
-14.3,174,1565.503002
-12.9,160,1575.167994
-14.7,178,1585.981781
0.4,27,1587.836943
-2.7,58,1591.460781
-4.8,79,1596.37409
-6.7,98,1602.398507
-2.5,56,1605.998828
-18.0,180,1616.932046
-1.5,46,1619.965143
-3.4,65,1624.010865
-4.5,76,1628.69386
-18.0,180,1639.5454
-2.8,59,1643.243439
0.9,22,1644.732959
-18.0,180,1655.449128
1.6,15,1656.565494
-3.2,63,1660.561147
-0.6,37,1663.028723
-9.8,129,1670.857568
1.5,16,1672.042058
-10.1,132,1680.218119
-2.4,55,1683.748322
-6.5,96,1689.682713
2.2,9,1690.469341
-4.5,76,1695.163885
-0.6,37,1697.682585
-11.8,149,1706.662813
-3.0,61,1710.477236
-6.8,99,1716.547271
1.2,19,1717.9132
-0.0,31,1719.932033
-13.0,161,1729.658247
-5.1,82,1734.842033
1.9,12,1735.776009
-2.3,54,1739.202331
-1.9,50,1742.416864
-7.3,104,1748.764762
-3.1,62,1752.723528
-2.3,54,1756.085953
-0.6,37,1758.514766
-1.5,46,1761.436939
1.6,15,1762.56689
2.1,10,1763.382958
-8.3,114,1770.265393
-1.0,41,1772.885375
-7.0,101,1779.076584
0.4,27,1780.87669
-7.9,110,1787.560636
-1.1,42,1790.305626
-9.4,125,1797.977728
-7.0,101,1804.212089
-9.6,127,1812.012855
-8.5,116,1819.068605
0.5,26,1820.858207
-4.7,78,1825.658031
-7.5,106,1832.149558
0.4,27,1833.980648
-2.3,54,1837.443976
-18.0,180,1848.169426
0.6,25,1849.929698
-18.0,180,1860.934299
-10.7,138,1869.323689
-13.4,165,1879.386006
1.5,16,1880.59991
0.3,28,1882.538337
-18.0,180,1893.318263
-4.0,71,1897.729581
-0.8,39,1900.297919
-18.0,180,1911.008724
-7.6,107,1917.69289
-2.0,51,1920.964038
-0.3,34,1923.248668
-18.0,180,1933.996232
-0.1,32,1936.238348
-6.9,100,1942.351632
0.4,27,1944.132747
-18.0,180,1954.831536
1.8,13,1955.843963
-14.8,179,1966.50683
2.3,8,1967.223851
-2.8,59,1970.952198
-8.2,113,1977.885767
0.1,30,1979.901202
-18.0,180,1990.70728
-3.1,62,1994.534094
-1.1,42,1997.273406
-13.5,166,2007.298456
-6.1,92,2012.893504
-5.8,89,2018.502927
0.8,23,2020.06997
-1.1,42,2022.743319
-18.0,180,2033.585041
-1.0,41,2036.275155
-1.1,42,2038.980587
-0.6,37,2041.436559
-2.4,55,2044.923024
-0.2,33,2047.071535
-3.8,69,2051.348207
-18.0,180,2062.244002
-4.1,72,2066.64242
-5.2,83,2071.798129
2.0,11,2072.683788
-3.0,61,2076.59971
-18.0,180,2087.465583
-3.3,64,2091.535853
-13.7,168,2101.854042
2.1,10,2102.690748
-0.9,40,2105.285506
-4.9,80,2110.243071
-18.0,180,2120.946149
-5.4,85,2126.139175
0.4,27,2127.981381
-4.1,72,2132.409032
0.9,22,2133.958239
-7.0,101,2140.163058
-4.4,75,2144.846885
-18.0,180,2155.786968
-0.3,34,2158.000042
-12.8,159,2167.586136
1.9,12,2168.569427
-2.9,60,2172.347802
-2.3,54,2175.748736
-6.1,92,2181.514862
-10.3,134,2189.619703
1.4,17,2190.826915
-2.0,51,2194.058111
-3.5,66,2198.154879
-2.5,56,2201.649011
1.1,20,2203.058796
-1.7,48,2206.142114
-5.5,86,2211.459919
-6.1,92,2217.217045
-18.0,180,2227.969753
-4.2,73,2232.542452
-0.9,40,2235.089642
-18.0,180,2245.938234
1.3,18,2247.267358
-13.4,165,2257.258561
-9.6,127,2264.937704
-0.2,33,2267.120448
-2.8,59,2270.881369
-2.3,54,2274.485212
-6.8,99,2280.637256
-5.4,85,2285.919029
-13.3,164,2295.880333
-8.3,114,2302.966746
0.8,23,2304.573395
-18.0,180,2315.261837
-4.7,78,2320.075364
-3.3,64,2324.092494
-0.4,35,2326.408052
-1.6,47,2329.445297
-10.0,131,2337.512763
-0.5,36,2339.950912
0.3,28,2341.841802
-2.7,58,2345.48191
-2.0,51,2348.769611
-8.7,118,2356.001821
0.4,27,2357.827745
