reward_game,counter_done_max_changes,discount_reward,segments,rewards_sum,done_penalty,is_done_success,discount_rewards,entropy,entropy_map,bonus_factor,representation,counter_changes,changes_penalty,experience_bonus,reward_experience_bonus,reward,historical,done_bonus,counter_done,agent,piece_penalty,counter_done_interations
18.0,365,,[156 217  34 105 138 164  84 172],0.7999999999999994,,True,1.6652796201412088,3.0,1.1908750996762085,1.0,narrow-puzzle,21,,1.0231999999999999,3.0695999999999994,3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([47], dtype=int64), array([196], dtype=int64), array([104], dtype=int64), array([34], dtype=int64), array([81], dtype=int64), array([165], dtype=int64), array([192], dtype=int64), array([196], dtype=int64), array([47], dtype=int64), array([196], dtype=int64), array([138], dtype=int64), array([192], dtype=int64), array([196], dtype=int64), array([110], dtype=int64), array([80], dtype=int64), array([172], dtype=int64), array([156], dtype=int64), array([217], dtype=int64), array([34], dtype=int64), array([105], dtype=int64), array([138], dtype=int64), array([164], dtype=int64), array([84], dtype=int64)]}",50.0,65,,0,0
3.0,367,,[190 282 138 108  61 217 164 258],0.8999999999999995,,True,1.721828799965464,3.0,1.1661993651944245,1.0,narrow-puzzle,21,,1.0233999999999999,3.0702,3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([196], dtype=int64), array([104], dtype=int64), array([196], dtype=int64), array([47], dtype=int64), array([138], dtype=int64), array([138], dtype=int64), array([196], dtype=int64), array([49], dtype=int64), array([52], dtype=int64), array([5], dtype=int64), array([104], dtype=int64), array([47], dtype=int64), array([66], dtype=int64), array([199], dtype=int64), array([164], dtype=int64), array([258], dtype=int64), array([190], dtype=int64), array([282], dtype=int64), array([138], dtype=int64), array([108], dtype=int64), array([61], dtype=int64), array([217], dtype=int64)]}",50.0,66,,0,0
6.0,370,,[196 213 102 164 196 139 278 104],1.0499999999999996,,True,1.7219418972854599,2.75,1.1540343850333825,1.0801234497346435,narrow-puzzle,18,,1.0236,2.8149,2.75,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([47], dtype=int64), array([260], dtype=int64), array([225], dtype=int64), array([47], dtype=int64), array([138], dtype=int64), array([81], dtype=int64), array([205], dtype=int64), array([202], dtype=int64), array([60], dtype=int64), array([138], dtype=int64), array([102], dtype=int64), array([164], dtype=int64), array([196], dtype=int64), array([139], dtype=int64), array([278], dtype=int64), array([104], dtype=int64), array([196], dtype=int64), array([213], dtype=int64)]}",10.0,67,,0,0
3.0,375,,[112 164 203 202 196  47 163 195],0.6999999999999993,,True,1.6091007062756386,3.0,1.1568770039998324,1.0,narrow-puzzle,21,,1.0238,3.0714,3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([104], dtype=int64), array([138], dtype=int64), array([138], dtype=int64), array([51], dtype=int64), array([203], dtype=int64), array([138], dtype=int64), array([103], dtype=int64), array([196], dtype=int64), array([217], dtype=int64), array([164], dtype=int64), array([203], dtype=int64), array([196], dtype=int64), array([258], dtype=int64), array([47], dtype=int64), array([196], dtype=int64), array([156], dtype=int64), array([112], dtype=int64), array([164], dtype=int64), array([203], dtype=int64), array([202], dtype=int64), array([196], dtype=int64), array([47], dtype=int64), array([163], dtype=int64), array([195], dtype=int64)]}",50.0,68,,0,0
3.0,389,,[192 203 155 196  57 258 196   0],0.8499999999999994,,True,1.6084327281765312,2.75,1.184921464041416,1.0246950765959597,narrow-puzzle,20,,1.024,2.816,2.75,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([138], dtype=int64), array([192], dtype=int64), array([108], dtype=int64), array([60], dtype=int64), array([9], dtype=int64), array([163], dtype=int64), array([104], dtype=int64), array([206], dtype=int64), array([163], dtype=int64), array([247], dtype=int64), array([150], dtype=int64), array([192], dtype=int64), array([57], dtype=int64), array([258], dtype=int64), array([196], dtype=int64), array([0], dtype=int64), array([192], dtype=int64), array([203], dtype=int64), array([155], dtype=int64), array([196], dtype=int64)]}",10.0,69,,0,0
9.0,407,,[196  47 155 192 199 129 196 150],0.9499999999999995,,True,1.6650002426119415,2.75,1.1611354993273,1.0513149660756935,narrow-puzzle,19,,1.0242,2.81655,2.75,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([190], dtype=int64), array([196], dtype=int64), array([104], dtype=int64), array([104], dtype=int64), array([192], dtype=int64), array([164], dtype=int64), array([217], dtype=int64), array([203], dtype=int64), array([295], dtype=int64), array([73], dtype=int64), array([260], dtype=int64), array([192], dtype=int64), array([199], dtype=int64), array([129], dtype=int64), array([196], dtype=int64), array([150], dtype=int64), array([196], dtype=int64), array([47], dtype=int64), array([155], dtype=int64)]}",10.0,70,,0,0
9.0,407,,[203 258  81  11 108  47  55 203],0.9499999999999995,,True,1.6650002426119415,2.75,1.1702628741327832,1.0513149660756935,narrow-puzzle,19,,1.0244,2.8171,2.75,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([104], dtype=int64), array([196], dtype=int64), array([196], dtype=int64), array([47], dtype=int64), array([138], dtype=int64), array([104], dtype=int64), array([172], dtype=int64), array([282], dtype=int64), array([47], dtype=int64), array([147], dtype=int64), array([192], dtype=int64), array([11], dtype=int64), array([108], dtype=int64), array([47], dtype=int64), array([55], dtype=int64), array([203], dtype=int64), array([203], dtype=int64), array([258], dtype=int64), array([81], dtype=int64)]}",10.0,71,,0,0
3.0,410,,[217  11 196 138 258 172 192 263],1.7,,True,2.187888814309156,3.0,1.1902335223409846,1.224744871391589,narrow-puzzle,14,,1.0246,3.0738,3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([231], dtype=int64), array([79], dtype=int64), array([163], dtype=int64), array([209], dtype=int64), array([126], dtype=int64), array([138], dtype=int64), array([192], dtype=int64), array([263], dtype=int64), array([217], dtype=int64), array([11], dtype=int64), array([196], dtype=int64), array([138], dtype=int64), array([258], dtype=int64), array([172], dtype=int64)]}",50.0,72,,0,0
0.0,413,,[138  81 205 138 192  47 258 138],1.7056390622295663,,True,1.9800179571184482,2.4056390622295662,1.1700480258142856,1.620185174601965,narrow-puzzle,8,,1.0248,2.465298910972859,2.4056390622295662,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.4056390622295662], 'action': [array([138], dtype=int64), array([81], dtype=int64), array([205], dtype=int64), array([138], dtype=int64), array([192], dtype=int64), array([47], dtype=int64), array([258], dtype=int64), array([138], dtype=int64)]}",0.0,73,,0,0
6.0,429,,[ 47 104  81 203  47  47 203 108],1.4556390622295663,,True,1.7385951272056985,2.1556390622295662,1.156226873107587,1.620185174601965,narrow-puzzle,8,,1.025,2.209530038785305,2.1556390622295662,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.1556390622295662], 'action': [array([47], dtype=int64), array([104], dtype=int64), array([81], dtype=int64), array([203], dtype=int64), array([47], dtype=int64), array([47], dtype=int64), array([203], dtype=int64), array([108], dtype=int64)]}",0.0,74,,0,0
