reward,agent,experience_bonus,reward_game,counter_changes,representation,changes_penalty,entropy_map,piece_penalty,reward_experience_bonus,discount_rewards,is_done_success,rewards_sum,counter_done_max_changes,bonus_factor,done_penalty,segments,counter_done,entropy,historical,discount_reward,done_bonus,counter_done_interations
2.58,,1.0122,6.0,46,narrow-puzzle,,1.223403060628072,0,2.611476,0.07670326014617262,True,-2.0199999999999996,3,1.0,,[ 85  97 256  42  85  85],10,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([62], dtype=int64), array([174], dtype=int64), array([97], dtype=int64), array([282], dtype=int64), array([188], dtype=int64), array([277], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([188], dtype=int64), array([95], dtype=int64), array([123], dtype=int64), array([123], dtype=int64), array([85], dtype=int64), array([188], dtype=int64), array([85], dtype=int64), array([123], dtype=int64), array([31], dtype=int64), array([193], dtype=int64), array([97], dtype=int64), array([201], dtype=int64), array([170], dtype=int64), array([170], dtype=int64), array([190], dtype=int64), array([174], dtype=int64), array([97], dtype=int64), array([170], dtype=int64), array([195], dtype=int64), array([276], dtype=int64), array([232], dtype=int64), array([130], dtype=int64), array([188], dtype=int64), array([123], dtype=int64), array([69], dtype=int64), array([40], dtype=int64), array([277], dtype=int64), array([190], dtype=int64), array([48], dtype=int64), array([121], dtype=int64), array([62], dtype=int64), array([199], dtype=int64), array([188], dtype=int64), array([85], dtype=int64), array([85], dtype=int64), array([97], dtype=int64), array([256], dtype=int64), array([42], dtype=int64), array([85], dtype=int64)]}",,0.0,0
2.58,,1.0124,12.0,60,narrow-puzzle,,1.2105493173831057,0,2.611992,-0.5481938617426597,True,-3.4199999999999946,3,1.0,,[172  85  85  42 188  30],11,2.2516291673878226,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([85], dtype=int64), array([196], dtype=int64), array([123], dtype=int64), array([225], dtype=int64), array([85], dtype=int64), array([123], dtype=int64), array([188], dtype=int64), array([173], dtype=int64), array([172], dtype=int64), array([123], dtype=int64), array([35], dtype=int64), array([274], dtype=int64), array([97], dtype=int64), array([85], dtype=int64), array([190], dtype=int64), array([124], dtype=int64), array([172], dtype=int64), array([212], dtype=int64), array([38], dtype=int64), array([123], dtype=int64), array([188], dtype=int64), array([85], dtype=int64), array([50], dtype=int64), array([85], dtype=int64), array([42], dtype=int64), array([97], dtype=int64), array([27], dtype=int64), array([84], dtype=int64), array([190], dtype=int64), array([232], dtype=int64), array([190], dtype=int64), array([103], dtype=int64), array([188], dtype=int64), array([257], dtype=int64), array([167], dtype=int64), array([170], dtype=int64), array([85], dtype=int64), array([170], dtype=int64), array([5], dtype=int64), array([170], dtype=int64), array([170], dtype=int64), array([31], dtype=int64), array([170], dtype=int64), array([247], dtype=int64), array([125], dtype=int64), array([188], dtype=int64), array([123], dtype=int64), array([170], dtype=int64), array([126], dtype=int64), array([188], dtype=int64), array([85], dtype=int64), array([124], dtype=int64), array([49], dtype=int64), array([188], dtype=int64), array([170], dtype=int64), array([85], dtype=int64), array([85], dtype=int64), array([42], dtype=int64), array([188], dtype=int64), array([30], dtype=int64), array([172], dtype=int64)]}",,10.0,0
2.58,,1.0126,6.0,38,narrow-puzzle,,1.2529825182652556,0,2.612508,0.5091136704456011,True,-1.1200000000000019,5,1.0,,[240 261  85 138 188 236],12,2.584962500721156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([188], dtype=int64), array([206], dtype=int64), array([42], dtype=int64), array([97], dtype=int64), array([183], dtype=int64), array([97], dtype=int64), array([57], dtype=int64), array([97], dtype=int64), array([31], dtype=int64), array([158], dtype=int64), array([190], dtype=int64), array([170], dtype=int64), array([42], dtype=int64), array([3], dtype=int64), array([124], dtype=int64), array([97], dtype=int64), array([195], dtype=int64), array([188], dtype=int64), array([232], dtype=int64), array([123], dtype=int64), array([173], dtype=int64), array([62], dtype=int64), array([85], dtype=int64), array([97], dtype=int64), array([188], dtype=int64), array([173], dtype=int64), array([188], dtype=int64), array([188], dtype=int64), array([254], dtype=int64), array([85], dtype=int64), array([15], dtype=int64), array([155], dtype=int64), array([85], dtype=int64), array([138], dtype=int64), array([188], dtype=int64), array([236], dtype=int64), array([240], dtype=int64), array([261], dtype=int64)]}",,50.0,0
2.58,,1.0128,3.0,28,narrow-puzzle,,1.2178731986116353,0,2.613024,0.967500183822473,True,-0.22000000000000108,5,1.0,,[123 188  29 130  40  85],13,2.584962500721156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([109], dtype=int64), array([121], dtype=int64), array([123], dtype=int64), array([19], dtype=int64), array([97], dtype=int64), array([85], dtype=int64), array([97], dtype=int64), array([259], dtype=int64), array([132], dtype=int64), array([95], dtype=int64), array([240], dtype=int64), array([85], dtype=int64), array([57], dtype=int64), array([36], dtype=int64), array([76], dtype=int64), array([97], dtype=int64), array([217], dtype=int64), array([97], dtype=int64), array([230], dtype=int64), array([49], dtype=int64), array([31], dtype=int64), array([172], dtype=int64), array([271], dtype=int64), array([85], dtype=int64), array([123], dtype=int64), array([188], dtype=int64), array([29], dtype=int64), array([130], dtype=int64), array([40], dtype=int64)]}",,50.0,0
2.58,,1.013,3.0,23,narrow-puzzle,,1.2215518481041938,0,2.61354,1.1800291950349335,True,0.17999999999999927,6,1.0,,[172  70  85 174 188 202],14,2.584962500721156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([190], dtype=int64), array([85], dtype=int64), array([275], dtype=int64), array([254], dtype=int64), array([196], dtype=int64), array([0], dtype=int64), array([69], dtype=int64), array([85], dtype=int64), array([57], dtype=int64), array([85], dtype=int64), array([292], dtype=int64), array([42], dtype=int64), array([85], dtype=int64), array([85], dtype=int64), array([123], dtype=int64), array([70], dtype=int64), array([85], dtype=int64), array([66], dtype=int64), array([158], dtype=int64), array([70], dtype=int64), array([85], dtype=int64), array([174], dtype=int64), array([188], dtype=int64), array([202], dtype=int64), array([172], dtype=int64)]}",,50.0,0
2.58,,1.0132,3.0,15,narrow-puzzle,,1.23896187923954,0,2.614056,1.679132747665402,True,1.0799999999999998,8,2.016597794967223,,[172  92 206 201 170 188],15,2.584962500721156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([85], dtype=int64), array([217], dtype=int64), array([40], dtype=int64), array([261], dtype=int64), array([168], dtype=int64), array([32], dtype=int64), array([85], dtype=int64), array([85], dtype=int64), array([170], dtype=int64), array([58], dtype=int64), array([170], dtype=int64), array([188], dtype=int64), array([172], dtype=int64), array([92], dtype=int64), array([206], dtype=int64), array([201], dtype=int64)]}",,50.0,0
2.58,,1.0134,3.0,14,narrow-puzzle,,1.2591037295753162,0,2.6145720000000003,1.7364393240839353,True,1.18,8,2.0873770280289223,,[ 40 188 203 261 261 170],16,2.251629167387823,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([121], dtype=int64), array([231], dtype=int64), array([172], dtype=int64), array([188], dtype=int64), array([188], dtype=int64), array([214], dtype=int64), array([145], dtype=int64), array([199], dtype=int64), array([172], dtype=int64), array([261], dtype=int64), array([261], dtype=int64), array([170], dtype=int64), array([40], dtype=int64), array([188], dtype=int64), array([203], dtype=int64)]}",,10.0,0
2.58,,1.0136,3.0,7,narrow-puzzle,,1.2305295365958033,0,2.615088,2.208827476143797,True,1.98,10,2.951996902824546,,[ 85  97  69 190  17  50],17,2.584962500721156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([58], dtype=int64), array([97], dtype=int64), array([69], dtype=int64), array([190], dtype=int64), array([17], dtype=int64), array([50], dtype=int64), array([85], dtype=int64)]}",,50.0,0
2.58,,1.0138,12.0,29,narrow-puzzle,,1.2256881521142933,0,2.6156040000000003,0.9152310092514401,True,-0.3200000000000012,10,1.0,,[274 126  85  40   7 188],18,2.584962500721156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([85], dtype=int64), array([183], dtype=int64), array([42], dtype=int64), array([199], dtype=int64), array([170], dtype=int64), array([97], dtype=int64), array([126], dtype=int64), array([193], dtype=int64), array([32], dtype=int64), array([259], dtype=int64), array([190], dtype=int64), array([188], dtype=int64), array([67], dtype=int64), array([188], dtype=int64), array([90], dtype=int64), array([170], dtype=int64), array([85], dtype=int64), array([188], dtype=int64), array([85], dtype=int64), array([29], dtype=int64), array([269], dtype=int64), array([85], dtype=int64), array([74], dtype=int64), array([170], dtype=int64), array([274], dtype=int64), array([126], dtype=int64), array([85], dtype=int64), array([40], dtype=int64), array([7], dtype=int64), array([188], dtype=int64)]}",,50.0,0
2.58,,1.014,3.0,24,narrow-puzzle,,1.2482286550886448,0,2.61612,1.1800291950349335,True,0.17999999999999927,11,1.0,,[199  52   6  40 123 170],19,2.584962500721156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([56], dtype=int64), array([40], dtype=int64), array([123], dtype=int64), array([183], dtype=int64), array([236], dtype=int64), array([217], dtype=int64), array([188], dtype=int64), array([188], dtype=int64), array([85], dtype=int64), array([188], dtype=int64), array([40], dtype=int64), array([85], dtype=int64), array([240], dtype=int64), array([188], dtype=int64), array([170], dtype=int64), array([29], dtype=int64), array([85], dtype=int64), array([123], dtype=int64), array([121], dtype=int64), array([52], dtype=int64), array([6], dtype=int64), array([40], dtype=int64), array([123], dtype=int64), array([170], dtype=int64), array([199], dtype=int64)]}",,50.0,0
