reward,is_done_success,entropy,experience_bonus,entropy_map,done_penalty,agent,done_bonus,counter_changes,changes_penalty,bonus_factor,historical,counter_done_max_changes,counter_done,representation,discount_rewards,rewards_sum,reward_game,discount_reward,piece_penalty,segments,counter_done_interations,reward_experience_bonus
3.0,True,2.1556390622295662,1.0122,1.0316919051196913,,,0.0,12,,1.3228756555322954,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([27], dtype=int64), array([28], dtype=int64), array([49], dtype=int64), array([27], dtype=int64), array([36], dtype=int64), array([28], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([9], dtype=int64), array([60], dtype=int64)]}",1,10,narrow-puzzle,2.3083055640859937,1.9000000000000001,6.0,,0,[12  9  9 60 36 28 36  9],0,3.0366
3.0,True,2.5,1.0124,1.0316223430027769,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([28], dtype=int64), array([68], dtype=int64), array([4], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([9], dtype=int64)]}",1,11,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[28 68  4 12 36 36  9  9],0,3.0372
3.0,True,1.75,1.0126,1.0316919051196913,,,0.0,14,,1.224744871391589,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([27], dtype=int64), array([28], dtype=int64), array([27], dtype=int64), array([69], dtype=int64), array([12], dtype=int64), array([26], dtype=int64), array([36], dtype=int64), array([28], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([62], dtype=int64)]}",1,12,narrow-puzzle,2.187888814309156,1.7,6.0,,0,[36  9 36 36  9 62 36 28],0,3.0378
3.0,True,2.1556390622295662,1.0128,1.0311971924185719,,,0.0,9,,1.5275252316519468,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([36], dtype=int64), array([74], dtype=int64), array([36], dtype=int64), array([73], dtype=int64), array([9], dtype=int64), array([9], dtype=int64), array([35], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([28], dtype=int64)]}",1,13,narrow-puzzle,2.4303302488554155,2.1,3.0,,0,[36 28 36 73  9  9 35 36],0,3.0383999999999998
3.0,True,2.5,1.013,1.0314136431896277,,,0.0,16,,1.1456439237389602,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([4], dtype=int64), array([60], dtype=int64), array([1], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([1], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([27], dtype=int64), array([36], dtype=int64), array([4], dtype=int64), array([9], dtype=int64), array([1], dtype=int64), array([60], dtype=int64)]}",1,14,narrow-puzzle,1.951783895271449,1.2999999999999996,3.0,,0,[ 1 60  9 36 27 36  4  9],0,3.0389999999999997
3.0,True,2.0,1.0132,1.0316841761063746,,,0.0,12,,1.3228756555322954,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([36], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([75], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([1], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([27], dtype=int64), array([63], dtype=int64)]}",2,15,narrow-puzzle,2.187888814309156,1.7,3.0,,0,[ 1 36 36 36 27 63 36  9],0,3.0396
3.0,True,2.4056390622295662,1.0134,1.0441073152887042,,,0.0,10,,1.4491376746189437,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([69], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([36], dtype=int64), array([4], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([49], dtype=int64), array([60], dtype=int64)]}",2,16,narrow-puzzle,2.4303302488554155,2.1,3.0,,0,[49 60 27 36  4  9 36 36],0,3.0402000000000005
3.0,True,2.5,1.0136,1.04341039959807,,,0.0,14,,1.224744871391589,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([67], dtype=int64), array([36], dtype=int64), array([68], dtype=int64), array([10], dtype=int64), array([36], dtype=int64), array([17], dtype=int64), array([12], dtype=int64), array([49], dtype=int64), array([27], dtype=int64), array([67], dtype=int64), array([4], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([12], dtype=int64)]}",2,17,narrow-puzzle,2.187888814309156,1.7,4.0,,0,[27 67  4  9  4 12 12 49],0,3.0408
3.0,True,2.75,1.0138,1.0439369789535315,,,10.0,12,,1.3228756555322954,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([27], dtype=int64), array([9], dtype=int64), array([27], dtype=int64), array([75], dtype=int64), array([36], dtype=int64), array([1], dtype=int64), array([67], dtype=int64), array([60], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([36], dtype=int64), array([28], dtype=int64)]}",2,18,narrow-puzzle,2.3083055640859937,1.9000000000000001,7.0,,0,[ 9  4 36 28 36  1 67 60],0,3.0414000000000003
3.0,True,2.5,1.014,1.0432400081016662,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([1], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([69], dtype=int64), array([69], dtype=int64)]}",2,19,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[ 1 12 27  0 36 36 69 69],0,3.042
