segments,segments
0,93
1,7
2,18
3,1
4,23
5,1
6,2
7,2
8,6
9,15
10,2
11,37
12,48
13,2
15,4
17,7
18,11
19,1
20,2
21,4
22,293
23,2
24,8
25,1
26,17
27,28
28,4
29,7
30,83
31,19
32,155
35,44
36,2
37,34
38,2
39,9
40,551
41,15
43,19
44,1
45,1
46,19
47,58
48,1
49,13
50,3
52,94
53,2
54,1
55,181
56,4
57,4
58,1
60,1
61,749
63,9
64,7
65,2
66,4
67,2
68,14
69,1
70,1
71,1
72,2
75,7
76,14
77,2
79,4
80,3
82,1
83,14
85,263
86,12
87,14
88,507
89,80
90,2
92,4
93,39
94,7
95,930
96,2
97,1
98,24
99,106
100,23
101,1
102,3
104,434
105,25
106,4
108,4
109,10
110,37
111,3
112,3
113,8
114,4
115,91
116,36
117,52
119,21
120,10
122,4
123,5
124,3
128,204
129,2
130,69
132,1
133,4
134,1
135,2
136,1
137,46
138,539
139,63
140,1
142,110
144,1
145,469
147,13
148,2
149,12
