#{"t_start": 1683082024.5031343, "env_id": null}
r,l,t
-0.2,13,233.970516
-1.3,24,235.553037
7.844661,8,236.232774
-2.5,16,237.396917
7.844661,8,238.077469
-8.510052,14,239.131
-0.955339,36,241.432179
7.844661,8,242.112579
0.644661,20,243.464167
-14.43546,13,244.432257
7.844661,8,245.105482
5.344661,13,246.042614
-25.110052,40,248.526663
7.444661,12,249.444141
7.244661,14,250.601186
-3.7,8,251.267312
3.444661,12,252.180513
-8.2,13,253.161582
-12.310052,12,254.067645
7.844661,8,254.747586
-11.955339,46,257.566741
7.844661,8,258.228895
-11.910052,8,258.898812
-6.2,13,259.883306
3.444661,12,260.797275
0.3,8,261.494134
7.844661,8,262.155555
-2.2,13,263.114023
-7.910052,8,263.800537
-24.2,33,265.941434
-3.9,10,266.729028
0.1,10,267.527211
-3.8,9,268.240013
5.544661,11,269.083313
7.144661,15,270.186602
-26.710052,36,272.525875
-35.93546,28,274.38722
-7.910052,8,275.067915
-32.410052,33,277.16906
0.3,8,277.84914
-3.7,8,278.525512
-12.010052,9,279.254658
-8.1,12,280.155578
-3.7,8,280.830712
-4.0,11,281.669065
7.644661,10,282.54144
-11.910052,8,283.215363
-20.23546,11,284.038839
3.644661,10,284.829032
7.844661,8,285.515169
0.3,8,286.192898
7.744661,9,286.92393
0.3,8,287.609656
-1.7,8,288.2883
-9.7,28,290.095934
7.644661,10,290.907188
7.844661,8,291.578364
-0.4,15,292.673009
-6.9,20,294.053928
-11.910052,8,294.751109
-11.910052,8,295.421108
-18.310052,12,296.308911
-25.110052,20,297.708499
-17.6,27,299.464497
7.844661,8,300.150106
7.144661,15,301.27105
-26.517797,12,302.210386
-9.910052,8,302.89129
-16.710052,16,304.052884
-32.417797,11,304.901021
0.0,11,305.728463
2.544661,21,307.14958
-4.0,11,307.998799
-27.210052,21,309.424269
-13.7,28,311.271838
0.1,10,312.065507
0.3,8,312.744658
-3.7,8,313.414289
6.744661,19,314.708253
-4.3,14,315.725673
7.344661,13,316.709079
-4.5,16,317.845773
-1.7,8,318.515487
-18.310052,32,320.548635
-16.210052,11,321.381669
-2.6,17,322.611464
-19.2,23,324.104231
-4.0,11,324.9381
-16.655339,53,328.222588
0.3,8,328.908858
-2.155339,28,330.732397
7.844661,8,331.418606
-17.1,42,334.053859
-13.010052,19,335.359423
7.344661,13,336.316141
-10.110052,10,337.090382
7.844661,8,337.759967
-16.310052,12,338.667486
-20.932015,12,339.581142
-3.7,8,340.254179
-0.2,13,341.251046
-22.710052,36,343.582935
-32.23546,31,345.572224
-15.93546,8,346.238522
-3.7,8,346.942847
1.844661,28,348.815399
-3.7,8,349.503734
-3.7,8,350.17113
0.3,8,350.850606
-12.03546,9,351.57713
-9.910052,8,352.259611
-9.1,22,353.73758
-10.310052,12,354.652588
7.044661,16,355.788644
-3.955339,26,357.534178
-18.923058,8,358.232277
-7.910052,8,358.925842
-10.310052,12,359.862287
-6.4,15,360.950699
