,Linearity,Leniency
0,0.0,0.4256199771360615
1,0.0,0.2523565774604716
2,0.0,0.2702678027597221
3,0.0,0.5688826795799244
4,0.0,0.09306991129370688
5,0.0,0.22297496938100292
6,0.0,0.7827844277898149
7,0.0,0.3839005247655394
8,0.0,0.40928817902805903
9,0.0,0.7501034665572144
10,0.0,0.6224898013415792
11,0.0,0.3030582162181361
12,0.0,0.22787348269878668
13,0.0,0.4285609794921785
14,0.0,0.1995337756150439
15,0.0,0.07369976149412814
16,0.0,0.4505545623292276
17,0.0,0.5849889955784985
18,0.0,0.15621963588717475
19,0.0,0.6258457223518021
20,0.0,0.36817808087624926
21,0.0,0.2504080121134146
22,0.0,0.29408050263829855
23,0.0,0.5316957596471218
24,0.0,0.2884887041882579
25,0.0,0.6298567780790345
26,0.0,0.40796501738474955
27,0.0,0.8671060542077935
28,0.0,0.6417918066063364
29,0.0,0.5750738342088196
30,0.0,0.47857433213751516
31,0.0,0.35372854532466663
32,0.0,0.12886920853674744
33,0.0,0.6415018634504551
34,0.0,0.3857441106940876
35,0.0,0.10820299704400058
36,0.0,0.26439053396110507
37,0.0,0.8017591288023795
38,1.0,0.6766849657106699
39,0.0,0.23751396107868325
40,0.0,0.22705864245036167
41,0.0,0.36618741851926395
42,0.0,0.07854775839999792
43,0.0,0.22557761701982115
44,0.0,0.06081755024343913
45,0.0,0.18164228328919724
46,0.0,0.14826435343597114
47,0.0,0.3230400881932358
48,0.0,0.024654376970830727
49,0.0,0.36969488876522894
50,0.0,0.6090534881977087
51,0.0,0.20653740253555555
52,0.0,0.30391041756287257
53,0.0,0.29837650250148323
54,0.0,0.3307004284686291
55,0.0,0.11209512871818551
56,0.0,0.36288254013357907
57,0.0,0.3763793677292215
58,0.0,0.6244915141636705
59,0.0,0.19540669000419658
60,0.0,0.47245632106337054
61,0.0,0.39647858511949635
62,0.0,0.12565168144666375
63,0.0,0.6529946102671976
64,0.0,0.09457751046176475
65,0.0,0.13366589971176704
66,0.0,0.7259234702670135
67,0.0,0.47444645720773165
68,0.0,0.8279258408548851
69,0.0,0.6531216906159187
70,0.0,0.4167496109315411
71,0.5,0.19896572908732366
72,0.0,1.0
73,0.0,0.09531473434813437
74,0.0,0.34366130850662174
75,0.0,0.5512274567223006
76,0.0,0.20513373036075822
77,0.0,0.22086538297097016
78,0.0,0.5615696396364397
79,0.0,0.7673450862922928
80,0.0,0.36188089440359716
81,0.0,0.4588703004279424
82,0.0,0.1375388246251722
83,0.0,0.21086892175086727
84,0.0,0.2252400516214584
85,0.0,0.3032973798557914
86,0.0,0.10518332590058005
87,0.0,0.3039338340246452
88,0.0,0.6718540707150835
89,0.0,0.6439553298103399
90,0.0,0.4794788916383499
91,0.0,0.3682691156602192
92,0.0,0.34113364616673836
93,0.0,0.19163927072192427
94,0.0,0.48223072055610156
95,0.0,0.2202107744665849
96,0.0,0.05378866511697049
97,0.0,0.11405895423134148
98,0.0,0.11729674050745317
99,0.0,0.3812036850670066
100,0.0,0.1844572577218414
101,0.0,0.28724184337544356
102,0.0,0.08054631394634473
103,0.0,0.2633688921514072
104,0.0,0.205279228151323
105,0.0,0.5442135686556189
106,0.0,0.6415515905434329
107,0.0,0.10017878073903932
108,0.0,0.2696489767137758
109,0.0,0.27771607934760156
110,0.0,0.43396623556697445
111,0.0,0.11364166762042707
112,0.0,0.22865096185090028
113,0.0,0.58955257456104
114,0.0,0.668490256515499
115,0.0,0.20836651761694092
116,0.0,0.07983066477756337
117,0.0,0.597534956962385
118,0.0,0.24880464224776988
119,0.0,0.11700863909575623
120,0.0,0.13770089811339623
121,0.0,0.11221536830279326
122,0.0,0.2721542750171348
123,0.0,0.1355976262548527
124,0.0,0.4232299193973813
125,0.0,0.23325321746131353
126,0.0,0.07772739291901984
127,0.0,0.4776534600453332
128,0.0,0.0100890746419452
129,0.0,0.13249165624107903
130,0.0,0.15901961326003192
131,0.0,0.9723133227827704
132,0.0,0.3565664100064593
133,0.0,0.2868706003691382
134,0.0,0.24624409161888003
135,0.0,0.11081222234062006
136,0.0,0.5749146548900282
137,0.0,0.37274192296510283
138,0.0,0.2592044454442485
139,0.0,0.5624410477419559
140,0.0,0.22519927014309038
141,0.0,0.32661412433614995
142,0.0,0.24522034495868578
143,0.0,0.1678381475210781
144,0.0,0.19390408985606772
145,0.0,0.1603451428601498
146,0.0,0.006199310924568734
147,0.0,0.4130527041408987
148,0.0,0.3071839862974233
149,0.0,0.41540592699589163
150,0.0,0.050760837677876314
151,0.0,0.25451220747511344
152,0.0,0.2969178411074671
153,0.0,0.8005840960127554
154,0.0,0.19194026434291175
155,0.0,0.2670768494071557
156,0.0,0.15319101912914446
157,0.0,0.12583033063254706
158,0.0,0.06829345299408406
159,0.0,0.5318491506270482
160,0.0,0.407273573996677
161,0.0,0.46519353442548766
162,0.5,0.1130638861591609
163,0.0,0.4806649748930802
164,0.0,0.5449507925419885
165,0.0,0.25515392377020824
166,0.0,0.41029140339591313
167,0.0,0.5242927373449153
168,0.0,0.0
169,0.0,0.11436415755332179
170,0.0,0.28472523150066636
171,0.0,0.29476036934864086
