historical,done_penalty,bonus_factor,counter_done_max_changes,segments,rewards_sum,entropy_map,reward_game,agent,entropy,reward,is_done_success,changes_penalty,representation,counter_done_interations,discount_reward,done_bonus,reward_experience_bonus,discount_rewards,piece_penalty,experience_bonus,counter_changes,counter_done
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([3], dtype=int64), array([25], dtype=int64), array([38], dtype=int64), array([5], dtype=int64), array([28], dtype=int64), array([10], dtype=int64), array([38], dtype=int64), array([17], dtype=int64), array([1], dtype=int64)]}",,1.5275252316519468,203,[ 1 25 38  5 28 10 38 17],0.20000000000000007,0.9829148847260766,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1304000000000016,0.5701141964438902,0,1.1304000000000016,9,601
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([17], dtype=int64), array([32], dtype=int64), array([36], dtype=int64), array([22], dtype=int64), array([6], dtype=int64), array([36], dtype=int64), array([17], dtype=int64), array([10], dtype=int64), array([33], dtype=int64), array([28], dtype=int64), array([12], dtype=int64), array([20], dtype=int64), array([20], dtype=int64), array([28], dtype=int64), array([29], dtype=int64), array([24], dtype=int64), array([23], dtype=int64), array([7], dtype=int64), array([17], dtype=int64), array([14], dtype=int64)]}",,1.0246950765959597,203,[23  7 17 14 20 28 29 24],6.644660805685808,0.9829148847260766,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,9.660593506908388,6.884270386639668,0,1.1306000000000016,20,602
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([16], dtype=int64), array([12], dtype=int64), array([13], dtype=int64), array([28], dtype=int64), array([25], dtype=int64), array([29], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([24], dtype=int64), array([3], dtype=int64), array([20], dtype=int64), array([24], dtype=int64), array([36], dtype=int64), array([29], dtype=int64), array([6], dtype=int64)]}",,1.224744871391589,206,[24  3 20 24 36 29  6 12],-0.40000000000000013,0.9619153461563997,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1308000000000016,0.26238732630550815,0,1.1308000000000016,14,603
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([12], dtype=int64), array([27], dtype=int64), array([23], dtype=int64), array([24], dtype=int64), array([39], dtype=int64), array([28], dtype=int64), array([3], dtype=int64), array([14], dtype=int64), array([18], dtype=int64)]}",,1.5275252316519468,206,[18 27 23 24 39 28  3 14],7.744660805685808,0.9630051719285936,4.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,9.664011371230664,7.81992567731056,0,1.1310000000000018,9,604
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([39], dtype=int64), array([25], dtype=int64), array([20], dtype=int64), array([35], dtype=int64), array([29], dtype=int64), array([31], dtype=int64), array([18], dtype=int64), array([23], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([39], dtype=int64)]}",,1.381698559415515,208,[18 17 39 35 29 31 18 23],1.1102230246251565e-16,0.9672023937420983,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1312000000000018,0.4661745741283555,0,1.1312000000000018,11,605
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([3], dtype=int64), array([28], dtype=int64), array([5], dtype=int64), array([23], dtype=int64), array([33], dtype=int64), array([26], dtype=int64), array([29], dtype=int64), array([5], dtype=int64), array([13], dtype=int64), array([29], dtype=int64), array([9], dtype=int64), array([38], dtype=int64), array([18], dtype=int64)]}",,1.2709778186044849,209,[13 29  9 38 18 26 29  5],-0.19999999999999996,0.9630051719285936,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1314000000000017,0.36360574624117026,0,1.1314000000000017,13,606
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([30], dtype=int64), array([39], dtype=int64), array([38], dtype=int64), array([5], dtype=int64), array([17], dtype=int64), array([30], dtype=int64), array([33], dtype=int64), array([3], dtype=int64)]}",,1.620185174601965,209,[30 39 38  5 17 30 33  3],0.30000000000000004,0.9630051719285936,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1316000000000017,0.6226045161609863,0,1.1316000000000017,8,607
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([23], dtype=int64), array([22], dtype=int64), array([33], dtype=int64), array([23], dtype=int64), array([26], dtype=int64), array([29], dtype=int64), array([39], dtype=int64), array([23], dtype=int64), array([13], dtype=int64), array([25], dtype=int64), array([10], dtype=int64), array([7], dtype=int64), array([10], dtype=int64)]}",,1.2709778186044849,209,[13 25 10  7 10 29 39 23],-0.19999999999999996,0.9513720889112642,4.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1318000000000017,0.36360574624117026,0,1.1318000000000017,13,608
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([14], dtype=int64), array([8], dtype=int64), array([1], dtype=int64), array([33], dtype=int64), array([14], dtype=int64), array([5], dtype=int64), array([39], dtype=int64), array([32], dtype=int64), array([9], dtype=int64)]}",,1.5275252316519468,209,[ 9  8  1 33 14  5 39 32],7.744660805685808,0.9730145995120817,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,9.672556032036349,7.81992567731056,0,1.1320000000000017,9,609
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([16], dtype=int64), array([10], dtype=int64), array([1], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([33], dtype=int64), array([10], dtype=int64), array([6], dtype=int64)]}",,1.620185174601965,210,[16 10  1 17 16 33 10  6],-7.910051650250492,0.9774178175281716,0.0,,2.5,-7.210051650250492,True,,narrow-puzzle,0,,0.0,-8.163220478413619,-7.30577109637227,0,1.1322000000000016,8,610
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([9], dtype=int64), array([38], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([14], dtype=int64), array([10], dtype=int64), array([25], dtype=int64)]}",,1.620185174601965,210,[ 9 38  9  2 10 14 10 25],-7.910051650250492,0.966177351388351,0.0,,2.5,-7.210051650250492,True,,narrow-puzzle,0,,0.0,-8.16466248874367,-7.30577109637227,0,1.1324000000000018,8,611
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([14], dtype=int64), array([1], dtype=int64), array([9], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([13], dtype=int64), array([35], dtype=int64), array([38], dtype=int64)]}",,1.620185174601965,210,[14  1  9  9 12 13 35 38],0.30000000000000004,0.9930554830121974,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1326000000000018,0.6226045161609863,0,1.1326000000000018,8,612
