reward_game,done_penalty,agent,piece_penalty,reward_experience_bonus,segments,rewards_sum,is_done_success,discount_reward,done_bonus,experience_bonus,counter_done_interations,counter_done_max_changes,counter_changes,entropy,counter_done,historical,representation,changes_penalty,bonus_factor,entropy_map,reward,discount_rewards
6.0,,,0,8.648905667515175,[ 41 246 129 163 123 124 151 104],6.7446608056858075,True,,50.0,1.0122,0,52,19,3.0,10,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([67], dtype=int64), array([125], dtype=int64), array([257], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([203], dtype=int64), array([104], dtype=int64), array([57], dtype=int64), array([90], dtype=int64), array([179], dtype=int64), array([163], dtype=int64), array([163], dtype=int64), array([123], dtype=int64), array([124], dtype=int64), array([151], dtype=int64), array([104], dtype=int64), array([41], dtype=int64), array([246], dtype=int64), array([129], dtype=int64)]}",narrow-puzzle,,1.0513149660756935,1.179332725254342,8.544660805685808,6.966546886076954
6.0,,,0,1.0124,[168 104 168 287  88 203 151 163],0.30000000000000004,True,,10.0,1.0124,0,52,8,2.75,11,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([168], dtype=int64), array([104], dtype=int64), array([168], dtype=int64), array([287], dtype=int64), array([88], dtype=int64), array([203], dtype=int64), array([151], dtype=int64), array([163], dtype=int64)]}",narrow-puzzle,,1.620185174601965,1.1517214280586303,1.0,0.6226045161609863
6.0,,,0,8.65232353183745,[174 129  86  41 269 104  88 246],6.644660805685808,True,,50.0,1.0126,0,52,20,3.0,12,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([104], dtype=int64), array([287], dtype=int64), array([164], dtype=int64), array([213], dtype=int64), array([88], dtype=int64), array([203], dtype=int64), array([41], dtype=int64), array([98], dtype=int64), array([287], dtype=int64), array([205], dtype=int64), array([151], dtype=int64), array([8], dtype=int64), array([269], dtype=int64), array([104], dtype=int64), array([88], dtype=int64), array([246], dtype=int64), array([174], dtype=int64), array([129], dtype=int64), array([86], dtype=int64), array([41], dtype=int64)]}",narrow-puzzle,,1.0246950765959597,1.1881097910139788,8.544660805685808,6.884270386639668
6.0,,,0,1.0128,[ 31 104  36 163  88  81 151  36],-0.30000000000000004,True,,10.0,1.0128,0,52,14,2.75,13,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([36], dtype=int64), array([163], dtype=int64), array([287], dtype=int64), array([47], dtype=int64), array([201], dtype=int64), array([255], dtype=int64), array([151], dtype=int64), array([36], dtype=int64), array([31], dtype=int64), array([104], dtype=int64), array([36], dtype=int64), array([163], dtype=int64), array([88], dtype=int64), array([81], dtype=int64)]}",narrow-puzzle,,1.224744871391589,1.1748466652981844,1.0,0.31282899672313297
6.0,,,0,8.655741396159723,[246 109 163  88  47 213 104 164],7.444660805685809,True,,50.0,1.013,0,53,12,3.0,14,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([164], dtype=int64), array([90], dtype=int64), array([168], dtype=int64), array([155], dtype=int64), array([47], dtype=int64), array([213], dtype=int64), array([104], dtype=int64), array([164], dtype=int64), array([246], dtype=int64), array([109], dtype=int64), array([163], dtype=int64), array([88], dtype=int64)]}",narrow-puzzle,,1.3228756555322954,1.1471457394820477,8.544660805685808,7.557950136823856
3.0,,,0,8.657450328320861,[155 125 104 163 167 129 226  88],6.544660805685808,True,,50.0,1.0132,0,56,21,3.0,15,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([233], dtype=int64), array([203], dtype=int64), array([241], dtype=int64), array([213], dtype=int64), array([163], dtype=int64), array([242], dtype=int64), array([168], dtype=int64), array([129], dtype=int64), array([213], dtype=int64), array([123], dtype=int64), array([163], dtype=int64), array([168], dtype=int64), array([104], dtype=int64), array([129], dtype=int64), array([226], dtype=int64), array([88], dtype=int64), array([155], dtype=int64), array([125], dtype=int64), array([104], dtype=int64), array([163], dtype=int64), array([167], dtype=int64)]}",narrow-puzzle,,1.0,1.1479440505663874,8.544660805685808,6.8025340219595805
12.0,,,0,-7.306666342363849,[213 168 168 246  88 163  88 104],-8.810051650250491,True,,0.0,1.0134,0,63,17,2.5,16,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([151], dtype=int64), array([163], dtype=int64), array([129], dtype=int64), array([88], dtype=int64), array([68], dtype=int64), array([86], dtype=int64), array([163], dtype=int64), array([268], dtype=int64), array([68], dtype=int64), array([168], dtype=int64), array([168], dtype=int64), array([246], dtype=int64), array([88], dtype=int64), array([163], dtype=int64), array([88], dtype=int64), array([104], dtype=int64), array([213], dtype=int64)]}",narrow-puzzle,,1.1114378604524227,1.154610955065334,-7.210051650250492,-7.422468362144463
16.0,,,0,-9.361062122746073,[129 129  16 163 177 126 278 129],-11.03545986853401,True,,0.0,1.0136,0,63,19,2.4056390622295662,17,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -9.23545986853401], 'action': [array([65], dtype=int64), array([41], dtype=int64), array([126], dtype=int64), array([65], dtype=int64), array([41], dtype=int64), array([104], dtype=int64), array([282], dtype=int64), array([205], dtype=int64), array([163], dtype=int64), array([164], dtype=int64), array([227], dtype=int64), array([163], dtype=int64), array([177], dtype=int64), array([126], dtype=int64), array([278], dtype=int64), array([129], dtype=int64), array([129], dtype=int64), array([129], dtype=int64), array([16], dtype=int64)]}",narrow-puzzle,,1.0513149660756935,1.1537737373583157,-9.23545986853401,-9.3005207200755
9.0,,,0,8.662577124804272,[226 163 104  65 213  36  90 126],7.144660805685808,True,,50.0,1.0138,0,67,15,3.0,18,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([107], dtype=int64), array([104], dtype=int64), array([47], dtype=int64), array([125], dtype=int64), array([281], dtype=int64), array([104], dtype=int64), array([284], dtype=int64), array([126], dtype=int64), array([226], dtype=int64), array([163], dtype=int64), array([104], dtype=int64), array([65], dtype=int64), array([213], dtype=int64), array([36], dtype=int64), array([90], dtype=int64)]}",narrow-puzzle,,1.1832159566199232,1.1696718827146164,8.544660805685808,7.301135638445869
6.0,,,0,1.014,[ 57 104 164 164  41  68 203 129],-0.19999999999999996,True,,10.0,1.014,0,67,13,2.75,19,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([151], dtype=int64), array([203], dtype=int64), array([163], dtype=int64), array([104], dtype=int64), array([164], dtype=int64), array([68], dtype=int64), array([203], dtype=int64), array([129], dtype=int64), array([57], dtype=int64), array([104], dtype=int64), array([164], dtype=int64), array([164], dtype=int64), array([41], dtype=int64)]}",narrow-puzzle,,1.2709778186044849,1.1795692511376286,1.0,0.36360574624117026
