Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
"1000$-$80,00$-$99,60$-$0,40","999$-$82,50$-$78,58$-$21,42","375$-$78,00$-$5,87$-$94,13","448$-$82,67$-$12,95$-$87,05",S
"1000$-$97,50$-$41,70$-$58,30","999$-$81,25$-$41,14$-$58,86","292$-$73,00$-$10,62$-$89,38","695$-$72,67$-$56,98$-$43,02",H
"974$-$100,00$-$20,33$-$79,67","941$-$81,25$-$17,43$-$82,57","394$-$74,00$-$0,76$-$99,24","413$-$76,67$-$7,51$-$92,49",HQ
"999$-$97,50$-$29,23$-$70,77","186$-$90,00$-$4,84$-$95,16","229$-$78,33$-$0,00$-$100,00","191$-$90,67$-$0,00$-$100,00",HQEX
