Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
"80,00$-$1000","82,50$-$999","78,00$-$375","82,67$-$448",S
"97,50$-$1000","81,25$-$999","73,00$-$292","72,67$-$695",H
"100,00$-$974","81,25$-$941","74,00$-$394","76,67$-$413",HQ
"97,50$-$999","90,00$-$186","78,33$-$229","90,67$-$191",HQEX
