Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
"99,60$-$0,40","78,50$-$21,40","2,20$-$35,30","5,80$-$39,00",S
"41,70$-$58,30","41,10$-$58,80","3,10$-$26,10","39,60$-$29,90",H
"19,80$-$77,60","16,40$-$77,70","0,30$-$39,10","3,10$-$38,20",HQ
"29,20$-$70,70","0,90$-$17,70","0,00$-$22,90","0,00$-$19,10",HQEX
