Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
"1,74$-$1,75$-$0,37","2,32$-$2,41$-$0,36","2,88$-$3,00$-$0,16","2,80$-$2,75$-$0,21",S
"2,65$-$2,75$-$0,25","2,63$-$2,75$-$0,26","2,85$-$3,00$-$0,18","2,53$-$2,50$-$0,30",H
"2,77$-$2,75$-$0,22","2,79$-$2,75$-$0,21","2,93$-$3,00$-$0,12","2,87$-$3,00$-$0,18",HQ
"2,72$-$2,75$-$0,23","2,87$-$3,00$-$0,15","2,97$-$3,00$-$0,08","2,95$-$3,00$-$0,10",HQEX
