segments,segments
0,4
1,4
2,29
3,4
4,23
5,10
6,24
8,10
9,4
10,14
11,17
12,1
13,19
14,15
15,10
16,22
17,4
18,3
19,1
21,4
22,20
24,1
25,5
26,10
27,8
28,12
29,18
30,34
31,24
32,1
33,2
34,5
35,11
36,6
37,5
38,11
39,2
40,9
41,15
42,4
43,9
44,2
46,2
47,12
49,1
50,8
51,10
52,23
53,1
54,2
55,77
56,2
57,14
58,15
59,2
61,29
62,3
63,4
64,9
65,17
66,3
67,8
69,7
71,4
72,2
73,4
74,10
75,1
76,3
77,3
78,22
79,4
80,5
81,7
82,3
83,11
84,5
85,16
86,18
87,12
88,26
89,2
90,14
91,2
92,3
93,12
94,3
95,36
96,3
97,27
98,24
99,1
100,1
101,10
102,11
103,11
104,19
105,8
106,8
107,1
110,19
111,4
112,3
113,15
114,5
115,9
117,48
118,14
119,17
120,20
121,34
122,5
123,12
124,38
125,4
127,3
128,34
129,4
130,5
131,21
132,7
134,10
135,6
137,4
138,17
139,16
140,43
141,1
142,2
143,9
144,7
145,26
146,5
147,18
148,2
149,4
