segments,segments
0,13
1,1
4,10
6,1
7,1
8,1
9,6
10,1
11,17
12,10
13,6
14,3
15,1
16,4
17,3
18,2
19,4
21,1
22,1
24,3
26,3
27,2
28,8
29,6
30,8
31,34
32,17
34,2
36,4
37,1
38,10
39,7
40,43
41,1
42,7
44,5
45,5
47,4
48,3
49,15
50,8
51,12
52,6
54,2
55,27
57,9
58,3
60,3
62,2
63,5
64,2
65,5
66,6
68,8
70,13
71,11
72,3
74,1
75,1
76,16
77,8
79,1
81,6
83,1
85,2
86,8
87,1
88,11
89,3
90,18
91,1
92,2
93,6
94,4
95,7
96,19
97,5
98,16
99,34
100,9
101,4
102,19
103,3
104,12
105,7
106,17
109,4
111,1
113,46
114,9
115,1
116,17
117,1
118,34
119,9
120,1
121,5
122,5
123,16
125,1
126,6
127,1
128,2
129,15
130,8
131,9
133,2
134,19
135,1
136,22
137,17
138,18
139,4
140,2
141,1
142,5
143,5
144,1
145,25
146,4
147,5
148,1
149,3
150,5
151,12
152,18
153,6
154,6
155,7
157,10
158,2
159,1
160,4
161,26
162,2
163,11
164,5
165,1
168,15
169,2
171,2
173,3
174,1
175,1
176,8
177,2
178,3
179,2
180,14
185,1
186,1
187,6
189,13
190,46
191,1
192,1
194,3
195,22
196,4
199,24
200,1
201,6
202,19
203,18
204,2
205,8
206,10
207,10
208,1
209,10
210,1
211,13
212,14
213,8
214,2
215,3
217,1
218,4
220,2
221,12
222,1
223,1
225,3
226,6
228,18
231,22
232,7
233,4
234,7
236,2
238,9
239,10
240,12
242,3
243,7
245,16
246,17
247,3
250,4
254,3
255,13
256,2
257,7
258,11
259,3
261,2
262,6
263,2
264,12
265,1
266,2
267,10
268,1
269,9
270,1
271,23
272,2
273,1
275,2
276,1
277,1
278,18
279,5
281,27
282,40
285,4
287,25
288,2
289,9
290,13
294,2
295,2
296,5
297,6
299,4
