#{"t_start": 1682615788.0044863, "env_id": null}
r,l,t
1.88,8,0.722383
1.98,7,1.287939
-2.22,49,4.136211
-0.92,36,6.264435
1.28,14,7.217271
-7.52,102,12.962326
1.78,9,13.625211
-5.02,77,18.014994
-1.92,46,20.697093
-3.52,62,24.218373
-1.62,43,26.718341
1.38,13,27.607995
1.48,12,28.464665
0.68,20,29.729542
-4.52,72,33.773392
-1.32,40,36.125344
-3.32,60,39.55635
-1.02,37,41.757965
0.48,22,43.141625
1.78,9,43.812811
1.28,14,44.779188
-3.22,59,48.163483
-2.12,48,50.916944
0.98,17,52.018009
1.08,16,53.108979
-1.62,43,55.632592
1.48,12,56.471443
-1.02,37,58.645424
0.98,17,59.741853
2.08,6,60.254756
0.28,24,61.737693
-0.52,32,63.656628
-2.72,54,66.738227
1.58,11,67.518066
1.68,10,68.243199
1.08,16,69.298238
-1.52,42,71.722231
-0.52,32,73.64443
-0.42,31,75.490846
-1.52,42,77.976364
1.58,11,78.758101
0.98,17,79.848534
0.58,21,81.170781
-0.82,35,83.276425
1.88,8,83.898879
-11.02,137,91.483848
1.78,9,92.168016
1.18,15,93.175217
0.78,19,94.365171
-0.72,34,96.392297
-5.12,78,100.818003
-0.12,28,102.505694
2.08,6,103.010938
-3.22,59,106.434546
1.68,10,107.148468
0.88,18,108.314547
1.08,16,109.365752
1.98,7,109.919519
1.18,15,110.911391
-3.12,58,114.230088
-0.12,28,115.935427
-0.62,33,117.877641
1.08,16,118.919214
-0.42,31,120.7392
1.28,14,121.663833
-0.72,34,123.682371
1.78,9,124.35794
-0.32,30,126.18032
1.48,12,127.013993
1.68,10,127.734905
-0.22,29,129.469579
1.68,10,130.190206
-0.02,27,131.816427
1.78,9,132.483272
1.48,12,133.31543
-1.12,38,135.53664
-2.02,47,138.327467
0.98,17,139.436505
0.88,18,140.635584
1.58,11,141.408726
0.48,22,142.771747
1.68,10,143.466275
1.98,7,144.023864
-1.32,40,146.354402
-4.52,72,150.382799
-13.52,162,159.42349
-1.12,38,161.6815
0.08,26,163.253606
-3.02,57,166.500469
0.58,21,167.838327
1.08,16,168.895417
-1.42,41,171.301389
0.98,17,172.378165
-3.82,65,175.983304
1.58,11,176.781528
