segments,segments
0,3
1,1
2,21
3,6
4,67
6,13
7,1
8,1
9,24
10,7
12,2
13,1
14,5
16,5
17,6
19,4
21,5
22,45
23,1
25,3
26,236
27,21
28,18
29,15
31,411
32,64
33,9
34,3
35,140
36,17
37,6
38,1
39,17
41,2
42,13
44,1
45,3
47,9
48,3
49,3
50,3
51,5
52,7
53,2
54,12
55,65
56,4
57,18
58,9
61,229
64,11
65,365
66,1
67,21
68,25
69,1
71,34
74,11
75,6
76,127
77,28
78,17
79,2
80,54
81,8
83,17
84,5
85,12
86,28
87,8
88,3
89,1
90,13
91,3
92,2
93,4
94,57
95,115
96,12
98,31
99,4
100,9
101,20
102,48
103,5
104,1
105,29
106,3
107,1
108,1
109,12
110,12
112,26
114,2
115,2
116,1
117,295
118,38
119,11
120,51
121,19
122,1
123,5
124,218
126,1
127,6
128,54
130,1
131,6
134,2
135,2
136,2
137,22
138,50
139,2
140,1
141,2
142,10
143,1
144,1
145,1
146,3
147,3
148,11
