segments,segments
1,1
2,2
3,3
4,7
6,7
8,1
10,3
11,1
12,1
13,1
14,5
15,4
16,5
17,33
18,1
20,2
21,2
23,7
24,2
26,30
27,2
28,8
32,20
34,6
37,1
38,12
39,1
40,3
41,14
42,129
43,1
44,1
45,2
47,24
48,4
49,7
50,2
51,2
52,35
53,2
54,8
55,19
56,2
57,19
58,2
59,1
60,3
62,1
65,24
66,2
68,8
70,9
71,9
72,1
73,1
75,2
76,4
77,4
79,1
80,2
82,7
84,6
85,2
86,38
87,9
88,10
89,1
90,2
91,12
92,1
93,6
95,2
96,1
97,10
98,1
100,1
101,1
102,23
103,6
104,52
105,1
106,1
108,5
110,10
111,4
113,21
114,1
116,1
117,7
118,1
119,1
121,2
122,1
123,1
124,1
125,4
126,166
127,7
128,4
130,21
131,1
132,1
133,2
134,1
135,5
136,143
137,12
138,9
139,11
140,1
141,3
142,17
143,28
145,5
146,3
148,7
149,3
150,1
151,20
152,1
153,18
154,4
155,1
156,2
157,15
158,5
161,14
162,2
164,20
166,3
167,7
168,4
169,3
170,35
171,1
172,1
173,4
174,38
175,1
176,3
177,1
178,2
179,64
180,55
181,4
182,19
183,76
184,1
185,2
188,1
189,14
190,3
191,7
193,4
194,4
195,144
196,14
197,1
198,2
199,31
200,4
201,1
203,8
204,2
205,81
206,1
207,13
209,1
210,6
211,73
212,40
214,1
215,5
216,2
217,5
218,1
219,3
220,2
221,1
223,4
224,6
225,2
226,336
227,1
228,55
229,1
230,2
231,6
232,5
233,1
234,1
237,2
238,5
239,1
240,3
241,11
242,5
244,1
245,11
246,4
247,3
252,4
253,1
254,103
256,39
257,1
258,2
259,3
260,1
261,1
262,24
264,22
265,71
267,8
268,3
270,2
271,5
274,4
275,6
276,2
278,5
279,5
280,2
282,17
283,2
285,12
287,1
289,5
291,3
292,9
293,8
296,2
297,3
298,37
