historical,done_penalty,bonus_factor,counter_done_max_changes,segments,rewards_sum,entropy_map,reward_game,agent,entropy,reward,is_done_success,changes_penalty,representation,counter_done_interations,discount_reward,done_bonus,reward_experience_bonus,discount_rewards,piece_penalty,experience_bonus,counter_changes,counter_done
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([3], dtype=int64), array([33], dtype=int64), array([35], dtype=int64), array([76], dtype=int64), array([26], dtype=int64), array([34], dtype=int64), array([60], dtype=int64), array([9], dtype=int64), array([12], dtype=int64)]}",,1.5275252316519468,207,[12 33 35 76 26 34 60  9],7.744660805685808,1.0430541110796498,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.852268594690496,7.81992567731056,0,1.0359999999999998,9,129
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([34], dtype=int64), array([34], dtype=int64), array([34], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([15], dtype=int64), array([35], dtype=int64), array([4], dtype=int64), array([54], dtype=int64), array([35], dtype=int64), array([26], dtype=int64), array([34], dtype=int64), array([28], dtype=int64), array([41], dtype=int64), array([76], dtype=int64), array([1], dtype=int64), array([36], dtype=int64), array([12], dtype=int64), array([9], dtype=int64)]}",,1.0513149660756935,207,[36 12  9 34 28 41 76  1],6.7446608056858075,1.0314136431896277,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.853977526851633,6.966546886076954,0,1.0361999999999998,19,130
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([49], dtype=int64), array([75], dtype=int64), array([41], dtype=int64), array([10], dtype=int64), array([4], dtype=int64), array([26], dtype=int64), array([51], dtype=int64), array([47], dtype=int64), array([35], dtype=int64)]}",,1.5275252316519468,207,[35 75 41 10  4 26 51 47],7.744660805685808,1.0375163051115415,4.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.855686459012771,7.81992567731056,0,1.0364,9,131
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -9.23545986853401], 'action': [array([14], dtype=int64), array([17], dtype=int64), array([6], dtype=int64), array([26], dtype=int64), array([60], dtype=int64), array([21], dtype=int64), array([14], dtype=int64), array([4], dtype=int64), array([9], dtype=int64), array([51], dtype=int64), array([14], dtype=int64), array([0], dtype=int64), array([66], dtype=int64), array([75], dtype=int64), array([14], dtype=int64), array([28], dtype=int64), array([15], dtype=int64), array([14], dtype=int64)]}",,1.1114378604524227,207,[15 14 14  0 66 75 14 28],-10.93545986853401,1.0421553822651266,4.0,,2.4056390622295662,-9.23545986853401,True,,narrow-puzzle,0,,0.0,-9.573477699722353,-9.29710627457354,0,1.0366,17,132
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([75], dtype=int64), array([46], dtype=int64), array([35], dtype=int64), array([26], dtype=int64), array([26], dtype=int64), array([52], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([28], dtype=int64), array([46], dtype=int64), array([3], dtype=int64), array([41], dtype=int64)]}",,1.2709778186044849,211,[ 0 28 46  3 41 52 34  9],7.344660805685808,1.026460755023481,6.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.859104323335046,7.471777571627171,0,1.0368,13,133
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([79], dtype=int64), array([36], dtype=int64), array([26], dtype=int64), array([34], dtype=int64), array([4], dtype=int64), array([75], dtype=int64), array([33], dtype=int64), array([9], dtype=int64), array([54], dtype=int64), array([28], dtype=int64), array([75], dtype=int64), array([0], dtype=int64), array([60], dtype=int64), array([14], dtype=int64), array([35], dtype=int64), array([41], dtype=int64), array([17], dtype=int64), array([9], dtype=int64), array([45], dtype=int64), array([26], dtype=int64)]}",,1.0246950765959597,212,[17  9 45 26 60 14 35 41],6.644660805685808,1.041318296917377,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.860813255496183,6.884270386639668,0,1.037,20,134
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([29], dtype=int64), array([34], dtype=int64), array([4], dtype=int64), array([1], dtype=int64), array([34], dtype=int64), array([75], dtype=int64), array([75], dtype=int64), array([8], dtype=int64), array([76], dtype=int64), array([15], dtype=int64), array([70], dtype=int64), array([53], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([33], dtype=int64), array([76], dtype=int64), array([4], dtype=int64), array([15], dtype=int64), array([26], dtype=int64), array([15], dtype=int64)]}",,1.0513149660756935,214,[ 4 15 26 15  9  4 33 76],-9.110051650250492,1.0285980859075372,6.0,,2.5,-7.210051650250492,True,,narrow-puzzle,0,,0.0,-7.47826557163981,-7.459848805242797,0,1.0372,19,135
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([66], dtype=int64), array([27], dtype=int64), array([35], dtype=int64), array([14], dtype=int64), array([3], dtype=int64), array([4], dtype=int64), array([28], dtype=int64), array([34], dtype=int64), array([4], dtype=int64), array([34], dtype=int64), array([14], dtype=int64), array([28], dtype=int64), array([38], dtype=int64), array([14], dtype=int64), array([23], dtype=int64)]}",,1.1832159566199232,214,[ 4 34 14 28 38 14 23 34],-8.610051650250492,1.0275993804521433,6.0,,2.5,-7.210051650250492,True,,narrow-puzzle,0,,0.0,-7.479707581969859,-7.397133583134877,0,1.0373999999999999,15,136
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([60], dtype=int64), array([15], dtype=int64), array([15], dtype=int64), array([14], dtype=int64), array([26], dtype=int64), array([60], dtype=int64), array([47], dtype=int64), array([41], dtype=int64)]}",,1.620185174601965,215,[60 15 15 14 26 60 47 41],-7.910051650250492,1.042635784040161,0.0,,2.5,-7.210051650250492,True,,narrow-puzzle,0,,0.0,-7.481149592299909,-7.30577109637227,0,1.0375999999999999,8,137
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([12], dtype=int64), array([50], dtype=int64), array([76], dtype=int64), array([26], dtype=int64), array([35], dtype=int64), array([3], dtype=int64), array([13], dtype=int64), array([5], dtype=int64), array([35], dtype=int64), array([1], dtype=int64)]}",,1.4491376746189437,218,[35  1 76 26 35  3 13  5],0.10000000000000009,1.0282807181523559,4.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0377999999999998,0.5179717490315061,0,1.0377999999999998,10,138
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([54], dtype=int64), array([34], dtype=int64), array([46], dtype=int64), array([14], dtype=int64), array([3], dtype=int64), array([34], dtype=int64), array([4], dtype=int64), array([35], dtype=int64), array([4], dtype=int64), array([54], dtype=int64), array([34], dtype=int64), array([14], dtype=int64), array([12], dtype=int64), array([34], dtype=int64), array([51], dtype=int64), array([53], dtype=int64), array([4], dtype=int64), array([28], dtype=int64)]}",,1.1832159566199232,218,[ 4 28 34 14 12 34 51 53],-0.7000000000000004,1.0410081825423736,7.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0379999999999998,0.11304791138353469,0,1.0379999999999998,15,139
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([29], dtype=int64), array([56], dtype=int64), array([5], dtype=int64), array([34], dtype=int64), array([26], dtype=int64), array([14], dtype=int64), array([52], dtype=int64), array([51], dtype=int64), array([17], dtype=int64), array([42], dtype=int64), array([9], dtype=int64), array([28], dtype=int64), array([69], dtype=int64), array([52], dtype=int64), array([15], dtype=int64), array([34], dtype=int64), array([0], dtype=int64)]}",,1.1114378604524227,220,[ 0 42  9 28 69 52 15 34],6.944660805685808,1.0384014518383964,4.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.871066848463004,7.132736505407453,0,1.0381999999999998,17,140
