reward,is_done_success,entropy,experience_bonus,entropy_map,done_penalty,agent,done_bonus,counter_changes,changes_penalty,bonus_factor,historical,counter_done_max_changes,counter_done,representation,discount_rewards,rewards_sum,reward_game,discount_reward,piece_penalty,segments,counter_done_interations,reward_experience_bonus
3.0,True,2.1556390622295662,1.0126,0.9965999782846083,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([10], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([35], dtype=int64), array([16], dtype=int64)]}",0,12,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[10 17 18 17 16 17 35 16],0,3.0378
3.0,True,2.1556390622295662,1.0128,0.9980269425991263,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([9], dtype=int64), array([10], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([24], dtype=int64)]}",0,13,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[ 9 10 17 17 17 18 18 24],0,3.0383999999999998
3.0,True,1.75,1.013,0.9998073978964301,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([17], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([24], dtype=int64)]}",0,14,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[17 18 17 17 16 17 18 24],0,3.0389999999999997
3.0,True,2.5,1.0132,0.9814234468560465,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([29], dtype=int64), array([16], dtype=int64), array([10], dtype=int64), array([17], dtype=int64), array([24], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([17], dtype=int64)]}",0,15,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[29 16 10 17 24 10 18 17],0,3.0396
3.0,True,1.75,1.0134,0.9998767366286201,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([17], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([14], dtype=int64), array([17], dtype=int64)]}",0,16,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[17 16 18 17 17 18 14 17],0,3.0402000000000005
3.0,True,1.0,1.0136,0.9999691848153974,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([18], dtype=int64)]}",0,17,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[17 17 17 17 18 18 18 18],0,3.0408
3.0,True,1.75,1.0138,0.9993759069576514,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([18], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([29], dtype=int64), array([39], dtype=int64)]}",0,18,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[18 17 17 17 17 18 29 39],0,3.0414000000000003
3.0,True,2.0,1.014,0.9790676487372043,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([24], dtype=int64), array([24], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([16], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([18], dtype=int64)]}",0,19,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[24 24 17 18 16 16 17 18],0,3.042
3.0,True,1.9056390622295662,1.0142,0.9992294886891655,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([10], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([9], dtype=int64), array([17], dtype=int64)]}",0,20,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[10 17 17 18 10 18  9 17],0,3.0426
3.0,True,1.75,1.0144,0.9999691848153974,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([10], dtype=int64)]}",0,21,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[17 17 17 17 24 18 18 10],0,3.0431999999999997
