#{"t_start": 1668469511.354258, "env_id": null}
r,l,t
-0.82,35,459.400768
-6.4,64,461.933615
-6.3,63,464.422266
-1.32,40,466.134801
-6.5,65,468.689808
-6.1,61,471.088493
-6.7,67,473.661953
1.18,15,474.438369
-6.3,63,476.947929
-6.5,65,479.515875
-6.2,62,482.015215
0.28,24,483.108291
-6.6,66,485.670464
-2.62,53,487.816682
1.18,15,488.620661
-2.62,53,490.766726
-6.2,62,493.199735
2.08,6,493.622059
-6.4,64,496.085838
-6.4,64,498.641534
-6.4,64,501.133614
-6.5,65,503.693579
-1.72,44,505.531028
1.88,8,506.042432
-6.4,64,508.541546
-6.4,64,511.030444
0.58,21,512.028434
-6.4,64,514.604968
-6.2,62,517.053622
-6.8,68,519.677052
-6.3,63,522.21985
-6.3,63,524.736609
0.28,24,525.857
-1.72,44,527.68788
-6.2,62,530.127287
-6.5,65,532.723053
1.98,7,533.182341
-6.3,63,535.634927
-6.2,62,538.101868
0.38,23,539.148495
-0.72,34,540.608474
0.58,21,541.593035
-2.62,53,543.778398
-1.32,40,545.459719
-0.52,32,546.87045
-0.32,30,548.205844
-6.6,66,550.817975
1.08,16,551.604813
-1.02,37,553.190676
-6.1,61,555.611109
-6.3,63,558.083706
0.98,17,558.917621
1.68,10,559.491128
-0.12,28,560.765635
-3.32,60,563.244846
-6.3,63,565.703903
-6.3,63,568.204895
-6.2,62,570.680662
-2.32,50,572.789212
-6.2,62,575.295108
-0.62,33,576.724091
-2.22,49,578.75025
-0.92,36,580.277857
-6.6,66,582.875188
-6.1,61,585.331266
-3.32,60,587.802215
-0.42,31,589.211013
-2.82,55,591.442732
-2.32,50,593.539308
0.88,18,594.45207
0.68,20,595.39088
-0.62,33,596.806111
1.28,14,597.529109
-6.2,62,599.983026
-2.32,50,602.060921
-6.3,63,604.532284
-6.4,64,607.11195
1.78,9,607.648977
-6.3,63,610.120882
-3.12,58,612.471394
-6.3,63,614.961152
1.78,9,615.518891
0.48,22,616.54813
-6.1,61,618.9575
-1.02,37,620.532819
-3.62,63,623.068923
1.58,11,623.682529
-2.42,51,625.775582
-3.22,59,628.246221
-1.72,44,630.084234
-6.1,61,632.494541
0.48,22,633.527763
-0.12,28,634.830869
-1.42,41,636.542202
-6.2,62,638.968018
-6.4,64,641.457721
0.88,18,642.318353
1.88,8,642.82967
1.38,13,643.548504
-1.02,37,645.139989
-6.3,63,647.607797
-0.22,29,648.92663
-6.4,64,651.387823
-3.62,63,653.922816
-6.4,64,656.452844
-6.2,62,658.911263
1.08,16,659.718103
1.48,12,660.389974
2.08,6,660.826327
-6.2,62,663.264814
-6.3,63,665.754598
0.58,21,666.752638
0.78,19,667.668141
-6.2,62,670.094708
-1.32,40,671.797266
-6.3,63,674.256216
-6.5,65,676.790658
-6.8,68,679.397684
1.48,12,680.063244
0.68,20,681.018666
-1.82,45,682.916461
-6.4,64,685.448408
-6.4,64,687.945222
-1.52,42,689.702412
-6.2,62,692.099524
-1.12,38,693.730031
-6.4,64,696.217189
-6.2,62,698.603208
-6.5,65,701.203765
-6.5,65,703.717683
0.38,23,704.757778
1.88,8,705.28392
-6.1,61,707.662701
-6.2,62,710.100515
1.78,9,710.676111
-6.1,61,713.104162
-2.82,55,715.387947
-6.3,63,717.853397
1.88,8,718.361934
-6.4,64,720.832451
-0.52,32,722.209286
-6.2,62,724.599446
-1.22,39,726.282545
0.98,17,727.107363
0.48,22,728.152075
-6.3,63,730.62479
-6.1,61,733.007542
0.08,26,734.173936
-6.1,61,736.603313
-3.22,59,739.012313
-1.62,43,740.810241
-6.2,62,743.238871
0.18,25,744.355255
-6.1,61,746.728557
1.68,10,747.307965
-6.2,62,749.761044
-6.3,63,752.202904
-6.2,62,754.627324
-0.72,34,756.09254
-6.2,62,758.483235
0.78,19,759.407761
-2.52,52,761.58032
-6.1,61,763.999077
0.58,21,764.995433
-1.52,42,766.727294
-2.32,50,768.80643
-6.5,65,771.313206
-6.2,62,773.782405
-6.4,64,776.258544
-0.32,30,777.588378
-0.22,29,778.875585
-2.62,53,781.044326
-6.3,63,783.501897
-6.4,64,785.985374
1.48,12,786.641009
-6.5,65,789.155426
-2.12,48,791.157904
0.88,18,792.033235
2.08,6,792.463064
-0.82,35,793.967919
-3.22,59,796.320002
1.88,8,796.820263
1.58,11,797.43106
0.48,22,798.456559
-1.42,41,800.161426
-1.72,44,802.041619
-6.5,65,804.578922
1.58,11,805.204364
0.08,26,806.386704
-6.4,64,808.899165
-6.3,63,811.364051
2.08,6,811.80098
-1.22,39,813.454759
-6.3,63,815.944307
0.38,23,817.0247
-6.3,63,819.477755
-2.32,50,821.570869
-6.3,63,824.090369
0.18,25,825.227769
-3.02,57,827.552343
-6.5,65,830.092801
1.38,13,830.778395
-6.1,61,833.174786
-1.52,42,834.920424
0.78,19,835.820838
-3.32,60,838.235961
-6.2,62,840.64052
-6.4,64,843.146838
-1.02,37,844.754611
-1.22,39,846.400434
-6.2,62,848.851436
-6.2,62,851.282482
0.28,24,852.374967
-6.2,62,854.838796
0.48,22,855.858584
1.68,10,856.439899
-6.3,63,858.851879
-2.62,53,861.003817
-0.52,32,862.432425
-3.02,57,864.726957
-6.4,64,867.217451
-6.5,65,869.767025
1.28,14,870.47729
0.98,17,871.315409
-0.92,36,872.865141
1.18,15,873.631256
1.88,8,874.137214
1.78,9,874.680156
-6.7,67,877.302477
-3.22,59,879.779174
2.08,6,880.225615
1.88,8,880.722291
-6.4,64,883.30153
1.38,13,883.983372
-6.1,61,886.384983
-6.3,63,888.822892
-6.2,62,891.264772
-6.4,64,893.781544
-6.5,65,896.318657
-6.4,64,898.823449
-6.1,61,901.265672
-6.3,63,903.732133
-0.02,27,904.918303
-6.3,63,907.365677
-2.62,53,909.58763
-1.52,42,911.386929
-1.52,42,913.154963
1.98,7,913.620104
0.28,24,914.74927
-6.3,63,917.210959
-3.62,63,919.710598
0.48,22,920.754839
0.98,17,921.579238
-1.72,44,923.420439
2.08,6,923.850903
-1.12,38,925.529573
2.08,6,925.960392
-2.52,52,928.103647
0.08,26,929.261304
-1.52,42,931.006709
-6.3,63,933.43511
1.48,12,934.09113
-1.72,44,935.933206
0.38,23,937.003985
-6.4,64,939.513261
-0.92,36,941.05802
-6.2,62,943.514333
-6.6,66,946.093993
1.38,13,946.780127
-6.2,62,949.239991
0.98,17,950.070954
-6.1,61,952.472875
0.18,25,953.602216
-6.3,63,956.084777
-0.32,30,957.397735
-0.82,35,958.919349
-1.12,38,960.507321
1.78,9,961.052068
1.78,9,961.599879
-6.6,66,964.134448
-1.22,39,965.770563
-6.5,65,968.31681
-6.4,64,970.854424
-6.5,65,973.403575
-6.2,62,975.843894
-6.3,63,978.286306
-6.5,65,980.859406
-6.4,64,983.35422
0.38,23,984.419961
0.58,21,985.432485
-6.1,61,987.844653
-6.3,63,990.275003
-1.62,43,992.094828
-6.1,61,994.497497
-6.2,62,996.916664
-0.42,31,998.282582
-2.82,55,1000.582051
-1.12,38,1002.270083
-1.22,39,1003.926407
1.38,13,1004.617728
0.98,17,1005.463717
-6.4,64,1008.004763
-6.3,63,1010.50125
-6.3,63,1013.001311
-3.72,64,1015.527176
1.08,16,1016.329125
-1.12,38,1017.95826
-6.2,62,1020.382174
-6.1,61,1022.794504
-6.3,63,1025.265319
