segments,segments
0,2
2,1
4,2
5,2
9,17
11,9
12,1
13,1
14,1
16,1
18,2
19,2
22,5
24,2
26,4
27,1
30,2
31,1
34,4
35,1
36,1
38,3
39,1
40,2
43,2
44,4
47,96
49,1
50,1
52,1
54,1
55,1
56,1
57,3
58,3
60,9
61,15
68,7
70,1
72,1
73,4
74,3
75,4
76,1
77,3
78,1
80,9
81,39
83,1
84,2
85,2
86,1
88,1
89,1
92,1
93,1
95,1
96,2
97,1
98,3
101,1
102,8
103,1
104,52
105,2
106,1
108,25
110,5
112,1
114,1
117,3
118,9
120,1
125,7
126,1
127,1
128,1
129,20
131,1
134,1
135,2
137,1
138,95
139,2
141,1
144,1
145,1
146,1
147,4
148,2
150,5
151,3
153,1
154,3
155,16
156,2
157,1
160,1
162,1
163,19
164,46
165,1
166,1
168,3
169,3
172,24
175,2
177,2
179,5
180,1
181,1
183,4
184,1
189,2
190,12
192,49
193,5
195,1
196,144
199,11
202,27
203,35
205,17
206,3
207,2
210,2
213,6
214,2
217,24
221,2
225,3
226,2
228,2
231,3
233,2
235,2
236,4
238,2
239,1
240,1
242,3
243,1
244,1
249,1
252,2
254,3
255,2
256,1
257,2
258,19
260,1
261,1
262,3
263,2
264,2
265,10
269,1
271,1
272,2
274,1
278,6
280,1
282,3
283,1
287,2
288,1
289,1
290,5
293,2
299,3
