segments,segments
1,2
3,1
4,4
5,11
6,86
7,1
11,15
12,6
14,1
15,1
16,1
17,10
19,1
22,18
24,1
25,2
26,3
27,4
28,78
29,127
30,84
31,3
32,3
33,2
34,2
35,8
36,10
37,18
38,2
39,21
40,4
41,22
42,1
43,23
44,1
45,1
47,4
48,1
49,265
50,63
51,20
52,7
53,3
55,4
56,13
58,2
59,4
61,1
63,5
64,3
65,67
67,1
68,2
69,6
70,8
72,7
73,1
74,87
76,4
77,4
78,2
79,1
80,2
81,34
82,23
84,241
85,1
86,3
87,1
88,9
89,5
90,1
93,1
95,10
96,4
97,1
98,7
99,3
100,16
102,26
104,72
105,2
106,7
107,1
108,1
109,96
110,59
111,5
114,4
116,37
117,3
118,1
120,1
121,1
122,2
123,3
124,3
125,17
126,2
127,1
128,8
130,1
131,48
133,2
134,5
135,1
136,447
137,2
138,21
141,15
142,4
144,1
145,4
146,1
147,1
148,1
149,2
150,49
151,13
152,54
153,2
154,4
155,24
156,4
157,8
158,5
162,1
164,3
165,2
166,3
167,5
168,63
169,1
170,10
171,1
172,5
173,2
174,3
175,7
176,20
177,32
178,2
179,20
180,17
181,2
183,57
184,2
187,1
188,1
189,9
190,131
191,16
192,210
193,1
194,2
195,86
196,84
199,16
201,370
202,61
203,1
204,30
206,10
208,6
209,2
210,3
211,2
213,4
214,6
215,4
217,1
218,1
221,1
222,1
223,6
224,3
225,1
226,678
228,30
229,8
230,3
231,2
233,72
234,5
235,1
236,2
237,16
238,146
240,467
241,250
242,4
243,1
245,106
246,6
247,1
249,7
251,4
253,96
254,4
255,3
256,8
257,127
258,1
259,10
260,1
261,7
262,64
263,8
266,14
268,8
269,42
270,1
271,1
272,3
273,1
274,4
275,3
278,2
279,1
280,2
281,9
285,23
286,1
288,177
289,2
290,49
291,1
293,1
294,1
295,3
297,2
298,43
