segments,segments
3,1
7,1
8,1
12,14
13,1
14,269
18,1
19,1
22,2
30,5
31,3
32,31
38,21
39,2
43,1
45,1
49,277
51,1
52,101
53,2
55,78
56,1
57,5
58,1
61,7
66,1
68,2
69,1
70,2
74,236
76,12
81,1
82,2
84,3
85,11
87,20
88,74
90,2
93,29
95,168
96,2
100,17
104,10
106,167
107,1
108,1
109,2
110,5
113,9
114,9
116,1
117,1
122,1
123,1
125,1
126,38
128,5
129,2
130,1
135,1
136,7
137,1
138,2
142,1
143,11
145,20
146,1
148,2
155,3
157,4
158,1
164,43
165,2
166,1
167,42
168,5
170,2
171,1
173,1
175,2
177,7
180,1
181,1
182,1
184,1
193,6
195,6
196,6
199,4
201,8
202,2
203,14
211,52
212,2
213,2
215,2
217,11
225,3
226,10
227,4
230,9
234,2
235,121
236,1
238,1
241,2
243,1
245,25
252,27
253,94
257,7
259,8
261,1
265,2
270,6
271,8
275,1
278,1
283,1
284,1
287,3
291,1
292,1
295,4
297,84
298,2
