Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
"92,50$-$1000","78,75$-$834","47,33$-$264","52,00$-$279",S
"95,00$-$999","78,75$-$808","56,67$-$143","54,00$-$144",H
"97,50$-$761","78,75$-$416","42,00$-$203","56,00$-$134",HQ
"100,00$-$796","50,00$-$9","50,67$-$35","72,00$-$39",HQEX
