Dungeon,MazeCoinLowMaps,Zelda,Agent
"1000$-$8,01$-$0,14","834$-$11,86$-$3,84","264$-$13,59$-$4,03",S
"999$-$8,64$-$1,59","808$-$12,06$-$3,86","143$-$14,46$-$3,96",H
"761$-$12,28$-$4,23","416$-$13,31$-$4,13","203$-$14,22$-$4,40",HQ
