Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
"0,54(0,70)$-$2,75(0,50)","1,06(0,24)$-$3,00(2,64)","2,00(1,14)$-$3,00(40,53)","1,81(0,36)$-$3,00(23,66)",S
"1,81(0,10)$-$3,00(17,52)","1,55(0,99)$-$3,00(5,32)","2,16(0,70)$-$3,00(39,16)","2,00(0,69)$-$3,00(31,25)",H
"1,75(0,13)$-$3,00(38,37)","2,00(0,72)$-$3,00(38,22)","2,41(1,48)$-$3,00(67,00)","2,41(3,73)$-$3,00(63,43)",HQ
"1,81(0,13)$-$3,00(33,67)","2,75(33,33)$-$3,00(66,67)","2,75(8,57)$-$3,00(91,43)","2,75(20,51)$-$3,00(79,49)",HQEX
