segments,segments
1,1
3,10
4,33
5,3
6,10
7,1
8,7
9,4
10,65
11,4
12,1
14,13
15,91
16,2
17,6
18,3
19,3
20,13
22,53
23,2
26,7
27,7
28,6
29,9
30,68
31,12
33,5
34,1
35,5
36,53
37,2
38,9
39,3
40,4
41,28
42,1
43,2
44,3
45,10
46,1
47,1
48,13
49,31
50,51
51,12
52,106
54,6
55,1
56,4
57,30
58,2
59,2
60,32
61,26
62,23
63,2
64,11
66,3
67,1
68,11
69,2
70,2
71,29
74,2
76,4
77,5
78,15
79,13
80,6
81,7
82,14
83,4
84,15
85,82
86,42
87,18
88,14
89,2
90,3
91,8
92,74
93,16
94,2
95,53
96,18
98,93
99,10
100,11
101,5
102,42
103,2
104,1
105,9
106,3
107,3
108,14
109,5
110,23
111,24
112,3
113,26
114,17
115,3
116,38
117,4
118,35
119,74
120,17
121,3
122,1
123,3
125,61
126,3
127,15
128,21
129,15
131,6
132,6
133,5
134,1
136,130
138,6
139,1
140,6
141,8
142,41
143,9
144,3
145,140
146,5
147,3
148,4
150,20
151,9
152,3
153,1
154,86
155,6
157,22
158,6
159,1
160,13
161,3
162,21
163,80
164,2
165,4
166,3
167,2
168,74
169,1
170,6
171,2
172,12
173,23
174,3
175,22
176,1
177,7
178,36
179,83
180,23
181,36
182,39
183,2
184,6
185,12
187,14
188,3
189,2
190,116
191,2
192,23
193,6
194,7
195,10
196,26
197,3
198,6
199,29
200,14
201,4
202,46
203,106
204,5
205,21
206,8
207,2
209,10
210,3
211,146
213,7
214,3
215,21
216,40
217,15
218,3
219,3
221,4
222,1
223,10
224,31
225,7
226,85
227,1
228,13
229,4
231,111
232,2
234,7
235,3
236,8
237,1
238,76
239,8
241,49
242,36
244,11
246,32
247,13
248,1
249,7
251,1
252,13
253,16
254,2
255,9
256,1
257,13
258,3
259,2
260,2
261,15
262,14
263,1
264,1
265,56
267,13
268,42
270,1
271,49
272,12
274,18
275,8
277,6
278,13
279,25
280,1
281,53
282,16
284,35
285,15
286,24
287,3
288,36
289,17
290,13
291,3
292,7
293,20
295,49
297,3
298,22
299,3
