segments,segments
0,221
1,40
2,41
3,11
4,46
5,19
6,2
7,3
8,3
9,16
10,2
11,113
12,41
13,2
14,36
15,13
16,69
17,2
18,2
19,21
20,12
21,14
22,24
23,42
24,5
25,5
26,3
27,72
28,14
29,1
30,3
31,24
32,53
33,1
34,7
35,37
36,4
37,13
38,10
39,51
40,24
41,48
42,3
43,18
44,17
45,4
46,1
47,88
48,10
49,6
50,16
51,7
52,69
53,5
54,25
55,276
56,5
57,61
58,8
59,13
60,2
61,47
62,4
63,1
64,32
65,120
66,15
67,50
68,5
69,9
70,5
71,82
72,19
73,1
74,16
75,13
76,29
77,3
78,6
79,10
80,22
81,84
82,89
83,8
84,6
85,34
86,1
87,8
88,65
89,21
90,82
91,41
92,46
93,50
94,20
95,71
96,28
97,13
98,2
99,5
100,87
101,60
102,11
104,38
105,5
106,18
107,5
108,17
109,71
110,71
111,15
112,84
113,28
114,5
115,20
116,1
117,166
118,128
119,105
120,38
121,19
122,76
123,3
124,63
125,30
126,3
127,1
128,19
129,26
130,56
131,65
132,185
133,25
134,9
135,56
136,2
137,30
138,118
139,77
140,8
141,6
142,29
143,2
144,1
145,92
146,6
147,51
148,3
149,7
