segments,segments
0,486
1,405
2,102
3,299
4,99
5,1
6,205
7,136
8,2
9,302
11,3
12,442
14,231
15,577
16,2
17,40
19,2
21,1
22,8
23,232
24,1
25,16
26,2
27,80
28,871
29,28
30,1
33,53
34,252
35,365
36,282
37,132
38,26
40,100
41,464
42,2
43,88
44,3
45,4
46,171
47,291
48,2
49,14
51,22
52,166
53,2
54,78
55,62
57,11
60,21
61,1
62,37
63,112
66,21
67,21
68,121
69,70
70,2
71,3
73,70
74,21
75,288
76,36
77,2
78,2
