segments,segments
0,2
1,1
2,20
3,30
4,4
5,2
6,17
8,1
9,32
10,1
11,3
12,4
13,16
14,11
15,25
16,14
17,1
18,2
19,26
22,426
23,8
24,3
25,1
26,1
27,1
28,751
29,9
30,2
31,21
32,44
34,22
36,1
38,8
39,31
40,45
41,3
43,1
44,1
45,9
46,10
47,281
48,1
49,698
50,4
52,54
53,5
54,2
55,196
56,1
57,49
58,27
60,4
61,13
63,3
64,65
65,383
67,38
68,4
69,13
71,1
72,2
73,1
74,2
76,110
77,200
78,5
79,5
80,65
81,18
82,4
83,42
84,14
86,1
87,3
88,139
89,2
90,3
91,1
92,1
93,325
94,3
95,528
96,2
97,2
98,354
99,3
100,16
102,7
103,2
104,5
105,294
106,2
110,771
111,2
112,3
113,2
114,1
115,23
116,2
117,199
119,1
120,1
121,6
123,3
124,6
125,4
127,8
128,22
129,3
130,12
132,3
133,13
135,12
136,2
137,15
138,245
139,26
140,4
141,1
142,3
143,14
145,102
146,2
147,1
148,3
