segments,segments
0,149
1,30
3,3
4,1
7,1
9,2
11,20
13,3
14,3
17,70
18,1
19,2
20,5
22,50
23,3
24,8
27,2
28,1
29,45
30,139
31,6
32,4
34,43
35,1
36,2
38,49
40,3
42,1
44,1
47,175
48,1
50,7
51,2
52,202
53,1
54,7
55,6
57,295
61,372
64,4
65,5
67,4
68,4
71,6
73,7
74,103
75,1
76,45
78,1
79,2
81,23
83,3
84,204
85,2
86,50
87,5
88,261
90,153
92,16
93,1
95,1
96,4
97,3
98,1
99,4
100,5
102,1
104,454
106,1
107,18
108,1
109,131
110,366
113,14
114,1
115,1
116,9
117,1
118,5
119,3
121,1
122,76
123,120
124,1
125,17
127,1
128,91
129,3
131,1
132,1
134,19
136,1
137,3
138,14
139,76
140,4
141,26
143,4
144,2
145,42
148,3
149,8
151,7
152,6
153,3
155,14
156,307
157,2
158,1
159,3
161,4
163,1
164,5
165,1
166,52
167,25
168,3
169,2
170,7
171,61
173,3
174,2
175,2
176,13
177,5
180,2
181,6
182,34
183,1
184,4
185,1
187,1
188,3
189,2
190,2
191,28
192,533
194,1
195,97
196,288
199,2
200,16
202,6
203,1
206,36
207,1
208,4
209,7
211,29
212,9
215,1
217,45
218,2
221,1
222,3
223,1
224,5
225,4
226,24
227,4
228,1
229,3
231,4
232,1
234,1
236,12
238,4
239,3
240,529
241,7
242,94
243,4
244,5
245,24
246,1
249,1
251,4
252,274
253,9
255,2
256,2
257,2
258,2
262,44
263,1
266,2
267,1
268,1
270,1
271,2
272,2
273,1
274,7
275,1
278,1
279,1
280,1
281,5
284,1
285,26
286,2
287,16
288,15
289,8
290,20
293,1
295,73
297,2
298,7
299,2
