segments,segments
1,3
2,25
3,1
4,32
5,1
6,1
7,9
8,4
9,23
10,5
11,1
12,1
14,8
16,2
17,1
19,4
26,4
27,1
28,333
29,3
30,11
31,83
32,3
33,1
35,287
37,2
39,1
40,12
41,1
42,39
43,2
44,1
45,1
47,293
48,9
49,197
50,3
51,13
52,29
53,1
54,3
55,47
57,13
58,2
59,5
61,10
62,1
65,3
68,1
69,3
70,1
71,8
72,1
74,66
76,1
77,16
78,5
79,4
81,4
83,10
84,3
85,2
86,31
87,9
90,5
92,25
93,7
94,1
95,24
96,15
97,3
98,1
99,11
100,25
101,2
104,28
106,2
108,1
109,1
110,4
111,2
113,26
114,81
116,1
119,23
122,1
124,4
125,1
126,23
128,3
129,15
131,2
132,1
133,2
134,3
136,9
138,15
139,260
140,2
141,27
145,4
146,5
147,1
148,2
151,116
152,3
153,4
154,6
155,24
156,38
157,83
158,14
159,1
164,3
166,2
167,93
168,9
169,16
170,2
171,2
172,50
174,14
176,6
177,217
179,1
180,4
181,1
182,3
183,4
184,1
185,10
186,10
187,2
188,4
189,39
190,2
191,2
192,13
193,3
195,72
196,2
198,1
199,210
200,1
201,7
202,55
203,8
204,7
206,4
208,1
209,159
210,4
211,1
212,8
214,2
215,1
216,1
217,3
218,1
223,88
224,1
225,6
227,1
228,5
229,9
230,2
231,78
232,4
233,1
234,12
235,10
236,2
239,4
240,618
241,1
242,1
245,7
246,23
247,19
248,3
249,172
250,2
251,2
252,4
254,49
256,2
257,32
258,2
259,280
260,2
261,16
262,1
263,2
264,193
265,1
266,50
267,1
268,1
269,1
272,86
274,90
275,1
276,1
277,1
278,3
281,3
282,4
283,1
284,4
285,3
286,2
287,9
288,2
289,14
290,6
291,3
292,7
294,1
295,8
297,4
298,14
299,1
