segments,segments
0,4
1,10
2,14
3,7
5,7
6,23
7,1
8,2
9,36
11,6
12,1
13,1
14,132
15,35
16,23
17,27
18,11
20,3
21,4
22,97
23,18
24,2
25,6
26,1
27,134
28,10
29,2
31,137
32,159
33,21
34,1
35,7
36,51
37,31
38,57
39,7
40,38
41,4
42,733
44,8
45,1
46,4
47,28
48,377
49,432
50,2
51,1
52,511
53,1
54,28
55,62
56,1
57,40
58,24
59,1
60,5
61,22
62,5
63,1
64,6
65,263
66,3
68,35
69,7
71,36
72,15
73,2
76,14
77,44
78,9
79,1
80,3
81,41
82,2
83,3
85,136
86,242
87,5
88,26
89,19
90,2
91,12
92,1
93,158
95,66
96,1
97,150
98,7
99,120
100,1
101,18
102,5
103,2
104,12
105,2
106,2
107,1
109,2
110,7
111,2
112,28
113,14
114,1
115,162
117,79
118,4
119,193
121,111
122,1
124,1
125,3
126,1
128,17
129,3
131,6
132,2
134,80
137,18
138,8
139,4
140,3
141,3
142,2
144,2
145,2
146,2
149,14
