segments,segments
1,2
4,3
6,2
8,1
9,2
10,5
11,11
12,1
13,45
14,4
15,1
16,3
17,2
18,3
20,1
21,4
22,7
23,2
24,1
26,9
27,5
30,1
32,1
34,1
35,1
38,38
40,1
42,16
45,2
47,1
48,4
49,9
50,2
52,25
54,1
55,40
56,5
57,11
58,39
62,3
64,1
65,9
66,2
67,1
68,14
69,3
70,5
71,12
72,2
73,31
74,2
75,1
76,9
77,3
78,1
80,2
82,1
84,16
86,12
87,2
89,3
90,56
94,7
96,1
97,1
98,6
99,50
100,3
101,5
102,3
103,5
104,1
105,3
106,14
107,1
108,19
110,23
111,3
112,2
113,1
114,3
115,4
116,2
117,9
118,7
122,7
123,4
124,6
126,36
127,11
128,10
129,16
130,2
133,6
134,6
135,1
136,1
137,1
138,18
139,3
140,5
141,15
142,32
143,8
145,4
146,13
147,2
148,35
149,2
150,7
151,13
153,10
155,17
156,2
157,10
158,1
159,15
161,8
164,2
165,2
166,1
168,11
170,4
171,4
172,1
173,7
174,2
176,28
177,13
178,3
180,21
181,1
182,187
183,1
184,6
186,2
187,1
188,20
189,3
190,10
191,4
193,19
194,8
195,4
196,42
197,2
198,3
199,1
200,1
201,3
202,13
204,2
205,6
207,2
210,9
211,52
212,106
213,1
215,5
216,3
217,7
218,1
220,1
221,1
222,1
223,29
225,10
226,320
227,36
228,1
231,12
232,4
233,18
235,8
236,2
237,1
239,1
240,23
242,1
243,2
245,11
246,2
247,2
248,4
249,2
253,1
254,2
256,8
257,9
258,1
259,7
261,1
262,1
264,1
266,12
267,1
268,26
269,1
271,6
272,1
273,1
274,1
278,10
280,4
282,34
284,5
285,4
286,1
287,3
289,14
290,1
291,2
292,10
293,15
294,2
295,3
296,2
298,25
299,2
