segments,segments
1,1
3,1
5,1
7,1
8,1
9,6
10,49
11,4
12,17
13,1
16,21
17,1
18,1
19,5
20,2
21,73
22,56
23,3
24,13
25,1
26,13
27,52
29,15
30,30
31,362
33,25
34,9
35,1
37,3
39,1
41,6
42,1
46,4
47,440
49,8
50,96
51,1
52,5
55,75
57,33
58,7
59,13
60,9
61,2
62,1
64,67
65,15
66,2
67,9
68,13
69,1
70,2
71,35
74,4
75,3
76,72
77,25
79,8
80,118
85,1226
86,67
87,7
88,138
90,19
91,55
92,9
93,13
94,520
95,2
96,19
99,10
101,6
102,1
103,2
104,30
105,85
106,3
107,1
108,4
109,36
111,1
112,6
113,1
115,3
116,8
117,284
119,17
120,146
121,7
123,1
124,13
126,5
127,30
128,867
129,2
131,1
132,9
133,2
135,5
136,3
138,7
139,15
140,3
141,6
142,2
145,1
147,3
148,13
149,2
