reward,agent,experience_bonus,reward_game,counter_changes,representation,changes_penalty,entropy_map,piece_penalty,reward_experience_bonus,discount_rewards,is_done_success,rewards_sum,counter_done_max_changes,bonus_factor,done_penalty,segments,counter_done,entropy,historical,discount_reward,done_bonus,counter_done_interations
2.58,,1.013,3.0,13,narrow-puzzle,,1.0391378211819586,0,2.61354,1.62220368958941,True,0.9799999999999998,0,2.1661735138967266,,[ 1  1  1 27 57 12],14,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([62], dtype=int64), array([28], dtype=int64), array([27], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([28], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([57], dtype=int64)]}",,0.0,0
2.58,,1.0132,0.0,6,narrow-puzzle,,1.0526064097483934,0,2.614056,2.269662008923667,True,2.08,0,3.188521078284832,,[73  1 27 67  1  1],15,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([73], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([67], dtype=int64), array([1], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.0134,0.0,6,narrow-puzzle,,1.0381847351922342,0,2.6145720000000003,2.269662008923667,True,2.08,0,3.188521078284832,,[47 27  1  1 62  1],16,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([47], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([62], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.0136,3.0,9,narrow-puzzle,,1.0378801882134556,0,2.615088,2.088366962842194,True,1.7800000000000002,0,2.6034165586355513,,[41 63  1  1 27  1],17,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([41], dtype=int64), array([63], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.0138,3.0,7,narrow-puzzle,,1.0389392963884174,0,2.6156040000000003,2.208827476143797,True,1.98,0,2.951996902824546,,[27  1 14 49  1  1],18,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([57], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([49], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([27], dtype=int64)]}",,0.0,0
2.58,,1.014,3.0,9,narrow-puzzle,,1.0546499525537512,0,2.61612,1.9106526150924463,True,1.4800000000000002,0,2.6034165586355513,,[27  1  1 60  1 63],19,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([62], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([60], dtype=int64), array([1], dtype=int64), array([63], dtype=int64)]}",,0.0,0
2.58,,1.0142,0.0,6,narrow-puzzle,,1.0389392963884174,0,2.616636,2.269662008923667,True,2.08,0,3.188521078284832,,[12 27 35  1 63  1],20,2.251629167387823,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([12], dtype=int64), array([27], dtype=int64), array([35], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([1], dtype=int64)]}",,10.0,0
2.58,,1.0144,4.0,7,narrow-puzzle,,1.0536416939619289,0,2.617152,2.208827476143797,True,1.98,0,2.951996902824546,,[ 1 27 63 68  1 47],21,2.2516291673878226,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([63], dtype=int64), array([27], dtype=int64), array([63], dtype=int64), array([68], dtype=int64), array([1], dtype=int64), array([47], dtype=int64), array([1], dtype=int64)]}",,10.0,0
2.58,,1.0146,0.0,6,narrow-puzzle,,1.0363965603410883,0,2.617668,2.269662008923667,True,2.08,0,3.188521078284832,,[27 15 51 35 14 15],22,2.2516291673878226,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([15], dtype=int64), array([51], dtype=int64), array([35], dtype=int64), array([14], dtype=int64), array([15], dtype=int64)]}",,10.0,0
2.58,,1.0148,3.0,8,narrow-puzzle,,1.0391378211819586,0,2.618184,2.1483968012095644,True,1.8800000000000001,0,2.7613402542968153,,[ 1  1  1 63  1 28],23,1.2516291673878228,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([62], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([28], dtype=int64), array([1], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.0150000000000001,7.0,16,narrow-puzzle,,1.054835632802996,0,2.6187000000000005,1.565649338654987,True,0.8799999999999997,0,1.9525624189766635,,[27 68  1  1 62  1],24,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([28], dtype=int64), array([1], dtype=int64), array([4], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([21], dtype=int64), array([27], dtype=int64), array([68], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([62], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.0152,3.0,9,narrow-puzzle,,1.0391378211819586,0,2.619216,1.9106526150924463,True,1.4800000000000002,0,2.6034165586355513,,[27  1  1 62  1  1],25,1.2516291673878228,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([67], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([28], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([62], dtype=int64), array([1], dtype=int64), array([1], dtype=int64)]}",,0.0,0
