reward_experience_bonus,changes_penalty,segments,entropy_map,counter_done_max_changes,piece_penalty,reward_neighbors,discount_reward,done_penalty,counter_done,historical,reward_game,agent,discount_rewards,reward,entropy,representation,counter_changes,counter_done_interations,experience_bonus,reward_distance,done_bonus,rewards_sum,is_done_success,bonus_factor
1.0122,,[48 15 36 19 15 29 38 41],1.0375163051115415,44,0,0,,,10,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, 1.0], 'action': [array([48], dtype=int64), array([6], dtype=int64), array([11], dtype=int64), array([77], dtype=int64), array([28], dtype=int64), array([16], dtype=int64), array([61], dtype=int64), array([41], dtype=int64), array([48], dtype=int64), array([15], dtype=int64), array([36], dtype=int64), array([19], dtype=int64), array([15], dtype=int64), array([29], dtype=int64), array([38], dtype=int64)]}",4.0,,-1.370665700374919,1.0,2.75,narrow-puzzle,15,0,1.0122,-6.585786437626905,10.0,-2.4,True,2.016597794967223
1.0124,,[57 36 54  4 28  9  5 36],1.042635784040161,49,0,0,,,11,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([15], dtype=int64), array([1], dtype=int64), array([37], dtype=int64), array([65], dtype=int64), array([68], dtype=int64), array([35], dtype=int64), array([67], dtype=int64), array([36], dtype=int64), array([57], dtype=int64), array([36], dtype=int64), array([54], dtype=int64), array([4], dtype=int64), array([28], dtype=int64), array([9], dtype=int64), array([5], dtype=int64)]}",4.0,,0.26238732630550815,1.0,2.75,narrow-puzzle,15,0,1.0124,-5.76393202250021,10.0,-0.40000000000000013,True,2.016597794967223
1.0126,,[ 9  2 25 63 33  2 62 37],1.041612864122787,49,0,0,,,12,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, 1.0], 'action': [array([43], dtype=int64), array([27], dtype=int64), array([29], dtype=int64), array([15], dtype=int64), array([3], dtype=int64), array([38], dtype=int64), array([54], dtype=int64), array([31], dtype=int64), array([43], dtype=int64), array([67], dtype=int64), array([22], dtype=int64), array([63], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([62], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([25], dtype=int64)]}",7.0,,-1.6780386278488366,1.0,2.75,narrow-puzzle,19,0,1.0126,-7.0,10.0,-2.8000000000000007,True,1.7917941611104424
1.0128,,[49  7  5  9 27 37  9 61],1.040682514260047,53,0,0,,,13,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, 1.0], 'action': [array([38], dtype=int64), array([24], dtype=int64), array([54], dtype=int64), array([47], dtype=int64), array([0], dtype=int64), array([30], dtype=int64), array([74], dtype=int64), array([21], dtype=int64), array([19], dtype=int64), array([62], dtype=int64), array([7], dtype=int64), array([72], dtype=int64), array([67], dtype=int64), array([19], dtype=int64), array([43], dtype=int64), array([71], dtype=int64), array([32], dtype=int64), array([46], dtype=int64), array([67], dtype=int64), array([15], dtype=int64), array([78], dtype=int64), array([19], dtype=int64), array([4], dtype=int64), array([9], dtype=int64), array([64], dtype=int64), array([12], dtype=int64), array([21], dtype=int64), array([5], dtype=int64), array([41], dtype=int64), array([17], dtype=int64), array([69], dtype=int64), array([15], dtype=int64), array([47], dtype=int64), array([71], dtype=int64), array([36], dtype=int64), array([19], dtype=int64), array([1], dtype=int64), array([19], dtype=int64), array([77], dtype=int64), array([75], dtype=int64), array([9], dtype=int64), array([7], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([67], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([61], dtype=int64), array([49], dtype=int64), array([7], dtype=int64), array([5], dtype=int64), array([9], dtype=int64), array([27], dtype=int64), array([37], dtype=int64)]}",10.0,,-4.832886619540343,1.0,2.75,narrow-puzzle,54,0,1.0128,-6.585786437626905,10.0,-10.29999999999999,True,1.0
8.655741396159723,,[35 67 15 12 61 26 46 36],1.042852704511711,58,0,0,,,14,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([30], dtype=int64), array([58], dtype=int64), array([40], dtype=int64), array([57], dtype=int64), array([38], dtype=int64), array([72], dtype=int64), array([47], dtype=int64), array([37], dtype=int64), array([17], dtype=int64), array([64], dtype=int64), array([30], dtype=int64), array([19], dtype=int64), array([30], dtype=int64), array([70], dtype=int64), array([2], dtype=int64), array([28], dtype=int64), array([70], dtype=int64), array([4], dtype=int64), array([33], dtype=int64), array([9], dtype=int64), array([58], dtype=int64), array([36], dtype=int64), array([19], dtype=int64), array([21], dtype=int64), array([25], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([47], dtype=int64), array([12], dtype=int64), array([22], dtype=int64), array([58], dtype=int64), array([72], dtype=int64), array([35], dtype=int64), array([67], dtype=int64), array([15], dtype=int64), array([12], dtype=int64), array([61], dtype=int64), array([26], dtype=int64), array([46], dtype=int64), array([36], dtype=int64)]}",11.0,,2.185159246460536,8.544660805685808,3.0,narrow-puzzle,40,0,1.013,0,50.0,-1.355339194314185,True,1.0
1.0132,,[27 57 36  0  1 76 12 12],1.044029891352379,60,0,0,,,15,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -2.1, -0.1, -4.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([33], dtype=int64), array([51], dtype=int64), array([71], dtype=int64), array([11], dtype=int64), array([58], dtype=int64), array([44], dtype=int64), array([57], dtype=int64), array([72], dtype=int64), array([45], dtype=int64), array([1], dtype=int64), array([26], dtype=int64), array([61], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([19], dtype=int64), array([71], dtype=int64), array([76], dtype=int64), array([14], dtype=int64), array([19], dtype=int64), array([67], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([57], dtype=int64), array([36], dtype=int64), array([0], dtype=int64)]}",4.0,,-6.084289890220776,1.0,2.75,narrow-puzzle,28,0,1.0132,-7.0,10.0,-9.699999999999998,True,1.0
8.659159260482,,[41  0 14 15 27 68 33  1],1.0288999288801717,60,0,0,,,16,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, 8.544660805685808], 'action': [array([37], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([35], dtype=int64), array([65], dtype=int64), array([15], dtype=int64), array([27], dtype=int64), array([28], dtype=int64), array([63], dtype=int64), array([55], dtype=int64), array([49], dtype=int64), array([25], dtype=int64), array([62], dtype=int64), array([27], dtype=int64), array([9], dtype=int64), array([74], dtype=int64), array([68], dtype=int64), array([2], dtype=int64), array([73], dtype=int64), array([19], dtype=int64), array([30], dtype=int64), array([16], dtype=int64), array([67], dtype=int64), array([62], dtype=int64), array([9], dtype=int64), array([41], dtype=int64), array([6], dtype=int64), array([27], dtype=int64), array([30], dtype=int64), array([36], dtype=int64), array([48], dtype=int64), array([55], dtype=int64), array([40], dtype=int64), array([19], dtype=int64), array([67], dtype=int64), array([77], dtype=int64), array([30], dtype=int64), array([15], dtype=int64), array([32], dtype=int64), array([33], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([14], dtype=int64), array([15], dtype=int64), array([27], dtype=int64), array([68], dtype=int64), array([33], dtype=int64), array([1], dtype=int64)]}",3.0,,0.5548111538704209,8.544660805685808,3.0,narrow-puzzle,48,0,1.0134,0,50.0,-4.15533919431418,True,1.0
8.660868192643136,,[28 15 67  9 36  1 38 73],1.0424033449693637,64,0,0,,,17,"{'rewards': [-0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([22], dtype=int64), array([67], dtype=int64), array([67], dtype=int64), array([11], dtype=int64), array([26], dtype=int64), array([70], dtype=int64), array([1], dtype=int64), array([16], dtype=int64), array([7], dtype=int64), array([56], dtype=int64), array([5], dtype=int64), array([34], dtype=int64), array([12], dtype=int64), array([4], dtype=int64), array([73], dtype=int64), array([59], dtype=int64), array([72], dtype=int64), array([33], dtype=int64), array([71], dtype=int64), array([18], dtype=int64), array([65], dtype=int64), array([36], dtype=int64), array([34], dtype=int64), array([73], dtype=int64), array([9], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([25], dtype=int64), array([11], dtype=int64), array([51], dtype=int64), array([62], dtype=int64), array([16], dtype=int64), array([72], dtype=int64), array([4], dtype=int64), array([11], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([1], dtype=int64), array([38], dtype=int64), array([73], dtype=int64), array([28], dtype=int64), array([15], dtype=int64), array([67], dtype=int64)]}",3.0,,4.856904033755016,8.544660805685808,3.0,narrow-puzzle,43,0,1.0136,0,50.0,0.34466080568582136,True,1.0
8.662577124804272,,[60 36 35 47 41 37 28 71],1.041891890554042,64,0,0,,,18,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([51], dtype=int64), array([10], dtype=int64), array([35], dtype=int64), array([73], dtype=int64), array([36], dtype=int64), array([63], dtype=int64), array([2], dtype=int64), array([36], dtype=int64), array([21], dtype=int64), array([59], dtype=int64), array([47], dtype=int64), array([16], dtype=int64), array([41], dtype=int64), array([37], dtype=int64), array([28], dtype=int64), array([71], dtype=int64), array([60], dtype=int64), array([36], dtype=int64), array([35], dtype=int64), array([47], dtype=int64)]}",8.0,,6.884270386639668,8.544660805685808,3.0,narrow-puzzle,20,0,1.0138,0,50.0,6.644660805685808,True,1.746424919657298
-3.042,,[76  7 18 12 28 47 36 12],1.0432400081016662,70,0,-4,,,19,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -3.0], 'action': [array([26], dtype=int64), array([36], dtype=int64), array([8], dtype=int64), array([21], dtype=int64), array([65], dtype=int64), array([43], dtype=int64), array([33], dtype=int64), array([27], dtype=int64), array([76], dtype=int64), array([7], dtype=int64), array([18], dtype=int64), array([12], dtype=int64), array([28], dtype=int64), array([47], dtype=int64), array([36], dtype=int64), array([12], dtype=int64)]}",3.0,,-3.5012774854008097,-3.0,2.75,narrow-puzzle,16,0,1.014,-7.0,10.0,-4.5,True,1.9525624189766635
