Dungeon,MazeCoinLowMaps,Zelda,Agent
"1,59$-$1,46$-$0,39","1,94$-$1,79$-$0,38","2,49$-$2,58$-$0,17",S
"2,37$-$2,25$-$0,23","2,42$-$2,58$-$0,21","2,54$-$2,58$-$0,11",H
"2,39$-$2,58$-$0,23","2,48$-$2,58$-$0,17","2,55$-$2,58$-$0,11",HQ
