Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
913$-$87,586$-$414,13$-$614,176$-$700,S
99$-$901,53$-$947,1$-$519,14$-$716,H
81$-$919,17$-$982,2$-$600,4$-$765,HQ
69$-$931,18$-$974,0$-$431,1$-$358,HQEX
