Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
"1000$-$6,02$-$0,29","1000$-$9,75$-$4,59","627$-$29,25$-$16,02","876$-$23,70$-$14,27",S
"1000$-$6,29$-$0,95","1000$-$11,27$-$6,38","520$-$31,01$-$16,35","730$-$27,18$-$15,80",H
"1000$-$11,67$-$6,98","999$-$14,75$-$9,48","602$-$31,16$-$15,52","769$-$25,69$-$14,93",HQ
"1000$-$9,75$-$5,36","992$-$14,58$-$9,48","431$-$29,11$-$16,17","359$-$31,46$-$15,52",HQEX
