Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
"1000$-$55,00$-$91,30$-$8,70","1000$-$67,50$-$58,60$-$41,40","627$-$71,00$-$2,07$-$97,93","876$-$65,33$-$20,09$-$79,91",S
"1000$-$95,00$-$9,90$-$90,10","1000$-$65,00$-$5,30$-$94,70","520$-$79,67$-$0,19$-$99,81","730$-$77,33$-$1,92$-$98,08",H
"1000$-$97,50$-$8,10$-$91,90","999$-$86,25$-$1,70$-$98,30","602$-$63,00$-$0,33$-$99,67","769$-$70,67$-$0,52$-$99,48",HQ
"1000$-$97,50$-$6,90$-$93,10","992$-$85,00$-$1,81$-$98,19","431$-$83,33$-$0,00$-$100,00","359$-$95,33$-$0,28$-$99,72",HQEX
