Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
"6,02$-$6,00$-$0,29","9,75$-$8,00$-$4,59","29,25$-$28,00$-$16,02","23,70$-$20,00$-$14,27",S
"6,29$-$6,00$-$0,95","11,27$-$9,00$-$6,38","31,01$-$30,00$-$16,35","27,18$-$24,00$-$15,80",H
"11,67$-$9,00$-$6,98","14,75$-$12,00$-$9,48","31,16$-$30,00$-$15,52","25,69$-$22,00$-$14,93",HQ
"9,75$-$7,00$-$5,36","14,58$-$12,00$-$9,48","29,11$-$28,00$-$16,17","31,46$-$29,00$-$15,52",HQEX
