Dungeon,MazeCoinLowMaps,Zelda,Agent
"57,50$-$1000","71,25$-$939","42,00$-$396",S
"92,50$-$1000","70,00$-$939","45,33$-$270",H
"97,50$-$959","78,75$-$870","37,33$-$302",HQ
