Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
"1000$-$57,50$-$92,40$-$7,60","939$-$71,25$-$17,68$-$82,32","396$-$42,00$-$0,76$-$99,24","461$-$52,67$-$0,43$-$99,57",S
"1000$-$92,50$-$15,30$-$84,70","939$-$70,00$-$6,71$-$93,29","270$-$45,33$-$0,74$-$99,26","240$-$58,67$-$2,08$-$97,92",H
"959$-$97,50$-$7,92$-$92,08","870$-$78,75$-$2,53$-$97,47","302$-$37,33$-$2,32$-$97,68","390$-$43,33$-$1,03$-$98,97",HQ
"957$-$95,00$-$6,17$-$93,83","806$-$85,00$-$3,23$-$96,77","172$-$79,00$-$0,00$-$100,00","116$-$84,67$-$0,86$-$99,14",HQEX
