Dungeon,MazeCoinLowMaps,Zelda,Agent
"6,00$-$6,00$-$0,10","9,48$-$8,00$-$3,94","12,82$-$12,00$-$4,56",S
"6,29$-$6,00$-$0,96","9,56$-$8,00$-$3,83","12,56$-$12,00$-$4,46",H
"9,53$-$8,00$-$4,14","10,69$-$10,00$-$4,20","13,01$-$13,00$-$4,62",HQ
