Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
924$-$76,166$-$773,3$-$393,2$-$459,S
153$-$847,63$-$876,2$-$268,5$-$235,H
76$-$883,22$-$848,7$-$295,4$-$386,HQ
59$-$898,26$-$780,0$-$172,1$-$115,HQEX
