Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
"1,53$-$1,46$-$0,41","2,27$-$2,25$-$0,28","2,52$-$2,58$-$0,14","2,44$-$2,58$-$0,17",S
"2,33$-$2,25$-$0,26","2,40$-$2,58$-$0,22","2,47$-$2,58$-$0,16","2,49$-$2,58$-$0,17",H
"2,39$-$2,58$-$0,23","2,46$-$2,58$-$0,18","2,50$-$2,58$-$0,17","2,49$-$2,58$-$0,16",HQ
"2,41$-$2,58$-$0,22","2,46$-$2,58$-$0,18","2,57$-$2,58$-$0,04","2,55$-$2,58$-$0,11",HQEX
