segments,segments
4,4
10,1
11,1
16,1
22,12
25,2
27,6
29,2
30,2
33,1
35,1
38,15
39,1
41,1
42,206
44,1
47,21
48,18
49,20
52,1
53,1
54,1
57,2
60,1
62,1
65,2
73,1
75,1
77,3
78,3
80,17
84,1
85,33
87,1
88,146
89,1
90,73
95,1
96,2
98,1
104,1
105,1
106,86
109,1
114,1
117,1
118,1
123,1
124,1
128,13
131,2
137,8
141,1
143,4
144,11
145,1
149,1
151,2
152,3
156,8
158,2
162,1
163,7
167,11
170,17
171,1
172,2
173,1
174,2
175,12
179,13
190,1
191,16
192,1
194,6
195,143
197,6
199,9
202,4
203,4
207,6
209,2
210,255
211,1
217,2
218,1
219,3
226,1
228,4
231,4
240,2
249,1
250,1
251,1
252,2
255,1
261,1
264,20
265,1
266,238
270,1
271,4
272,2
274,23
278,137
281,1
282,1
287,23
289,24
292,4
293,1
297,28
