segments,segments
0,21
1,4
2,32
3,14
4,8
5,5
6,117
8,18
9,9
10,12
13,4
14,6
15,1
16,8
17,23
20,2
22,130
23,2
25,18
26,6
27,1
28,1
29,8
30,1
31,52
32,36
33,3
34,3
35,1
36,4
37,1
38,25
40,1
41,21
42,4
43,4
44,2
47,2
48,12
49,51
50,2
52,115
53,19
54,60
55,26
56,1
57,2
58,7
59,3
60,16
61,2
63,7
64,59
65,2
66,2
67,7
68,6
69,7
71,30
72,1
74,86
75,2
76,58
77,1
78,3
79,3
80,2
81,4
82,5
84,1
85,104
86,61
87,3
89,23
90,12
91,83
92,5
93,16
94,3
97,3
98,2
99,9
100,2
101,9
102,103
104,31
105,3
106,16
107,8
108,10
109,19
111,19
112,1
114,81
115,1
117,3
118,2
119,9
120,3
122,8
123,53
124,10
125,14
126,57
127,2
128,3
130,25
131,30
133,1
134,9
136,1
137,31
139,22
140,6
141,31
142,1
144,4
145,2
146,35
147,6
149,11
151,8
152,4
153,9
154,6
155,103
156,81
157,20
158,3
159,1
160,1
161,3
162,10
163,13
164,17
165,2
166,9
167,53
168,3
169,7
170,62
171,2
172,37
173,7
174,3
175,3
177,5
178,8
179,5
180,68
181,6
182,8
183,6
185,43
186,4
187,10
188,58
189,4
190,5
191,1
192,17
193,3
194,5
195,57
197,6
198,13
199,125
200,4
201,17
202,50
203,1
204,77
205,87
206,8
207,26
208,1
209,51
210,7
211,1
212,2
213,19
214,1
216,8
217,117
218,1
219,13
221,1
223,6
224,25
225,4
227,2
228,1
229,21
230,2
231,1
233,7
234,16
236,25
237,1
238,8
239,5
240,80
241,36
242,55
243,16
244,28
245,9
246,185
247,2
249,21
250,7
251,5
252,83
253,26
254,1
255,2
256,1
257,97
258,4
259,2
260,15
261,4
262,28
263,4
264,3
265,16
266,17
267,1
268,2
269,2
271,16
273,1
274,17
276,11
277,3
278,8
279,7
280,155
281,43
282,1
284,2
285,5
286,9
287,45
288,61
289,21
290,4
292,9
295,5
296,1
297,85
298,33
299,60
