segments,segments
0,10
1,5
2,20
3,22
4,49
5,6
6,81
7,5
8,10
9,28
10,34
11,37
12,4
13,3
14,23
15,86
16,24
17,10
18,13
19,54
21,36
22,78
23,60
24,2
25,1
26,47
27,76
28,4
29,64
30,7
31,112
32,41
33,91
34,3
35,20
36,50
37,2
38,140
39,55
40,69
41,19
42,36
44,7
46,2
47,39
48,2
49,71
50,47
52,80
53,8
54,4
55,93
56,33
57,85
58,108
60,42
61,39
62,21
63,4
64,2
65,4
66,7
67,3
68,18
69,84
70,28
71,50
75,1
76,70
77,25
78,30
80,11
81,6
82,39
83,46
84,64
85,117
86,38
87,2
88,5
89,141
90,11
91,73
92,8
93,47
94,88
95,60
96,4
97,108
98,15
99,29
100,29
101,4
102,36
103,9
104,62
105,86
106,37
107,3
108,3
109,95
110,5
111,5
112,1
113,83
114,41
115,3
117,115
118,12
119,170
120,14
121,119
122,3
123,27
124,86
125,8
126,13
127,1
128,41
129,9
130,7
131,15
132,165
133,1
134,14
135,32
136,12
137,7
138,9
139,10
140,41
141,1
142,18
143,5
144,6
146,3
147,123
148,15
149,46
