segments,segments
1,1
3,1
8,1
9,1
12,1
13,1
14,1
15,5
16,2
18,5
22,6
24,3
32,1
34,2
38,41
39,2
41,5
42,1
44,4
46,1
47,1
49,28
52,1
54,1
55,100
56,1
59,1
60,1
61,8
65,3
66,1
67,1
68,2
69,3
70,36
71,1
73,1
74,2
76,2
80,38
81,1
82,12
83,2
84,2
85,1
87,1
88,2
93,2
95,2
98,1
100,33
101,1
103,6
104,118
107,1
108,6
109,1
113,1
114,11
116,8
117,3
118,17
123,95
125,1
126,3
128,1
129,21
130,16
135,2
136,12
138,61
140,1
142,2
143,3
144,9
148,3
150,1
151,202
152,7
154,1
156,2
160,4
163,238
164,1
166,2
168,19
169,1
170,14
171,3
173,1
177,115
179,322
180,22
182,34
189,1
190,25
191,14
193,1
196,5
199,39
201,6
203,18
205,1
206,1
209,3
213,1
214,1
216,1
217,3
221,1
223,1
225,1
226,90
234,1
235,3
237,1
238,8
239,19
243,1
246,1
249,9
250,2
253,1
255,9
256,3
257,4
259,3
261,3
263,1
265,4
266,2
271,14
272,13
279,1
281,1
284,5
289,1
292,3
295,7
296,3
297,2
299,6
