segments,segments
0,19
1,197
2,3
3,16
4,650
5,1
6,5
7,5
9,1011
11,2
12,469
13,2
14,26
15,113
16,2
17,26
18,4
19,3
20,1
21,5
22,7
23,8
25,2
26,5
27,499
28,326
30,2
32,1
33,6
34,11
35,28
36,1914
38,1
39,1
41,91
42,1
45,3
46,7
47,47
48,9
49,114
50,1
51,4
52,9
53,3
54,7
55,5
57,6
58,1
59,1
60,213
62,51
63,26
64,2
66,18
67,139
68,48
69,364
73,8
74,9
75,101
76,10
77,3
