reward,is_done_success,entropy,experience_bonus,entropy_map,done_penalty,agent,done_bonus,counter_changes,changes_penalty,bonus_factor,historical,counter_done_max_changes,counter_done,representation,discount_rewards,rewards_sum,reward_game,discount_reward,piece_penalty,segments,counter_done_interations,reward_experience_bonus
3.0,True,3.0,1.0122,1.1392007542953244,,,50.0,9,,1.5275252316519468,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([163], dtype=int64), array([118], dtype=int64), array([129], dtype=int64), array([151], dtype=int64), array([104], dtype=int64), array([55], dtype=int64), array([226], dtype=int64), array([163], dtype=int64), array([179], dtype=int64)]}",51,10,narrow-puzzle,2.4919531412518694,2.2,10.0,,0,[179 118 129 151 104  55 226 163],0,3.0366
3.0,True,2.75,1.0124,1.1999372564032265,,,10.0,16,,1.1456439237389602,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([179], dtype=int64), array([136], dtype=int64), array([100], dtype=int64), array([54], dtype=int64), array([49], dtype=int64), array([163], dtype=int64), array([295], dtype=int64), array([55], dtype=int64), array([179], dtype=int64), array([238], dtype=int64), array([163], dtype=int64), array([38], dtype=int64), array([24], dtype=int64), array([138], dtype=int64), array([38], dtype=int64), array([177], dtype=int64), array([104], dtype=int64)]}",52,11,narrow-puzzle,2.0102263882879434,1.3999999999999997,3.0,,0,[104 238 163  38  24 138  38 177],0,3.0372
3.0,True,2.75,1.0126,1.1854130107948446,,,10.0,13,,1.2709778186044849,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([53], dtype=int64), array([179], dtype=int64), array([80], dtype=int64), array([177], dtype=int64), array([100], dtype=int64), array([179], dtype=int64), array([168], dtype=int64), array([38], dtype=int64), array([68], dtype=int64), array([55], dtype=int64), array([177], dtype=int64), array([49], dtype=int64), array([55], dtype=int64)]}",62,12,narrow-puzzle,2.2478977001032003,1.8,6.0,,0,[ 68  55 177  49  55 179 168  38],0,3.0378
3.0,True,3.0,1.0128,1.180711167922959,,,50.0,9,,1.5275252316519468,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([179], dtype=int64), array([70], dtype=int64), array([182], dtype=int64), array([203], dtype=int64), array([104], dtype=int64), array([55], dtype=int64), array([180], dtype=int64), array([151], dtype=int64), array([163], dtype=int64)]}",62,13,narrow-puzzle,2.4919531412518694,2.2,6.0,,0,[163  70 182 203 104  55 180 151],0,3.0383999999999998
3.0,True,2.75,1.013,1.1599740370851135,,,10.0,9,,1.5275252316519468,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([82], dtype=int64), array([238], dtype=int64), array([55], dtype=int64), array([295], dtype=int64), array([299], dtype=int64), array([179], dtype=int64), array([151], dtype=int64), array([179], dtype=int64), array([44], dtype=int64)]}",65,14,narrow-puzzle,2.4919531412518694,2.2,9.0,,0,[ 44 238  55 295 299 179 151 179],0,3.0389999999999997
3.0,True,3.0,1.0132,1.1669881522339824,,,50.0,19,,1.0513149660756935,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([104], dtype=int64), array([98], dtype=int64), array([82], dtype=int64), array([168], dtype=int64), array([49], dtype=int64), array([163], dtype=int64), array([80], dtype=int64), array([151], dtype=int64), array([177], dtype=int64), array([179], dtype=int64), array([130], dtype=int64), array([168], dtype=int64), array([179], dtype=int64), array([225], dtype=int64), array([209], dtype=int64), array([272], dtype=int64), array([81], dtype=int64), array([151], dtype=int64), array([22], dtype=int64), array([163], dtype=int64)]}",70,15,narrow-puzzle,1.8360490561799925,1.0999999999999994,9.0,,0,[ 81 151  22 163 179 225 209 272],0,3.0396
3.0,True,2.5,1.0134,1.1574214493783048,,,0.0,17,,1.1114378604524227,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([104], dtype=int64), array([123], dtype=int64), array([170], dtype=int64), array([100], dtype=int64), array([179], dtype=int64), array([99], dtype=int64), array([100], dtype=int64), array([96], dtype=int64), array([179], dtype=int64), array([180], dtype=int64), array([123], dtype=int64), array([179], dtype=int64), array([151], dtype=int64), array([151], dtype=int64), array([179], dtype=int64), array([199], dtype=int64), array([163], dtype=int64)]}",74,16,narrow-puzzle,2.0102263882879434,1.3999999999999997,6.0,,0,[163 180 123 179 151 151 179 199],0,3.0402000000000005
3.0,True,3.0,1.0136,1.173095828960083,,,50.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([191], dtype=int64), array([104], dtype=int64), array([179], dtype=int64), array([163], dtype=int64), array([226], dtype=int64), array([263], dtype=int64), array([55], dtype=int64), array([144], dtype=int64)]}",76,17,narrow-puzzle,2.553987155462983,2.3,7.0,,0,[191 104 179 163 226 263  55 144],0,3.0408
3.0,True,2.75,1.0138,1.1442899680332637,,,10.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([55], dtype=int64), array([203], dtype=int64), array([55], dtype=int64), array([180], dtype=int64), array([182], dtype=int64), array([239], dtype=int64), array([163], dtype=int64), array([179], dtype=int64)]}",81,18,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[ 55 203  55 180 182 239 163 179],0,3.0414000000000003
3.0,True,3.0,1.014,1.1811356714108128,,,50.0,19,,1.0513149660756935,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([70], dtype=int64), array([226], dtype=int64), array([123], dtype=int64), array([179], dtype=int64), array([177], dtype=int64), array([55], dtype=int64), array([179], dtype=int64), array([226], dtype=int64), array([179], dtype=int64), array([130], dtype=int64), array([23], dtype=int64), array([88], dtype=int64), array([104], dtype=int64), array([123], dtype=int64), array([190], dtype=int64), array([179], dtype=int64), array([177], dtype=int64), array([163], dtype=int64), array([114], dtype=int64)]}",81,19,narrow-puzzle,1.8937257375651166,1.1999999999999995,3.0,,0,[177 163 114  88 104 123 190 179],0,3.042
