Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
"1000$-$6,00$-$0,10","1000$-$10,25$-$5,36","912$-$62,35$-$44,84","1000$-$32,11$-$25,42",S
"1000$-$6,33$-$1,10","1000$-$11,43$-$6,67","949$-$56,71$-$42,51","944$-$55,30$-$42,28",H
"1000$-$10,97$-$6,73","1000$-$13,89$-$9,01","983$-$42,92$-$35,16","995$-$37,73$-$31,21",HQ
"1000$-$10,54$-$6,13","1000$-$15,02$-$10,67","852$-$66,46$-$46,54","851$-$67,67$-$46,40",HQEX
