Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
1000$-$0,391$-$609,5$-$907,19$-$981,S
128$-$872,75$-$925,0$-$949,3$-$941,H
75$-$925,25$-$975,9$-$974,4$-$991,HQ
98$-$902,22$-$978,2$-$850,2$-$849,HQEX
