Dungeon,MazeCoinLowMaps,Zelda,Agent
"1000$-$50,00$-$100,00$-$0,00","1000$-$70,00$-$39,10$-$60,90","912$-$75,67$-$0,55$-$99,45",S
"1000$-$92,50$-$12,80$-$87,20","1000$-$71,25$-$7,50$-$92,50","949$-$74,00$-$0,00$-$100,00",H
"1000$-$97,50$-$7,50$-$92,50","1000$-$80,00$-$2,50$-$97,50","983$-$68,33$-$0,92$-$99,08",HQ
