Dungeon,MazeCoinLowMaps,Zelda,Agent
"0,00(1,60)$-$2,50(0,20)","1,06(6,10)$-$3,00(0,20)","2,41(3,43)$-$3,00(52,60)",S
"1,75(0,40)$-$3,00(19,90)","1,55(0,10)$-$3,00(14,30)","2,00(0,37)$-$3,00(59,36)",H
"1,75(0,10)$-$3,00(34,40)","1,75(0,10)$-$3,00(41,54)","2,41(0,56)$-$3,00(77,53)",HQ
