Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
8.0,12.0,57.0,54.0,S
8.0,12.0,60.0,45.0,H
14.0,19.0,55.0,56.0,HQ
12.0,19.0,75.0,74.0,HQEX
