Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
1000$-$0,972$-$28,60$-$786,113$-$776,S
391$-$609,445$-$555,52$-$755,513$-$423,H
209$-$791,152$-$847,12$-$878,39$-$852,HQ
256$-$744,157$-$843,6$-$605,6$-$620,HQEX
