Dungeon,MazeCoinLowMaps,Zelda,ZeldaLowMaps,Agent
"8,01$-$8,00$-$0,17","13,68$-$12,00$-$6,55","67,79$-$57,00$-$46,17","65,00$-$54,00$-$45,16",S
"8,35$-$8,00$-$1,26","14,64$-$12,00$-$7,64","70,54$-$60,00$-$46,14","55,74$-$45,00$-$40,13",H
"19,01$-$14,00$-$13,31","24,52$-$19,00$-$17,07","63,53$-$55,00$-$44,29","65,61$-$56,00$-$44,39",HQ
"14,41$-$12,00$-$8,05","25,17$-$19,00$-$19,25","78,75$-$75,00$-$49,49","79,50$-$74,00$-$48,17",HQEX
