segments,segments
0,5
1,4
2,17
4,27
6,16
7,3
9,15
11,38
12,5
15,6
16,4
17,13
18,5
19,10
20,7
21,1
22,86
24,5
25,1
26,8
28,1
29,5
30,3
31,75
32,1
33,73
34,1
35,2
36,69
37,649
39,10
40,2
41,2
42,150
48,133
49,1
50,6
51,1
52,4
53,1
54,33
55,13
56,1
57,4
58,7
59,1
60,8
61,18
62,6
64,4
65,56
67,3
68,9
70,8
71,11
72,2
73,3
74,17
76,4
77,12
78,23
79,1
82,1
83,3
84,4
85,573
87,87
88,103
89,2
90,112
91,5
92,3
93,6
95,2
96,39
97,314
100,2
102,99
103,2
104,1
105,7
106,6
107,2
108,1
110,5
111,1
112,1
113,23
115,4
117,7
118,27
119,21
120,1
121,1
122,6
124,7
125,1
126,1
127,7
128,43
130,12
132,348
135,2
136,1
137,398
138,4
139,39
140,29
141,2
142,28
144,2
145,247
146,1
147,16
148,10
149,2
