segments,segments
1,8
2,53
5,15
6,2
7,6
8,1
9,1
10,13
11,8
12,11
13,14
14,17
15,14
16,17
17,32
18,5
19,2
20,1
21,6
22,37
23,26
24,5
25,1
26,79
27,37
28,21
29,25
30,4
31,19
32,3
33,10
34,9
35,28
36,8
37,17
38,7
39,20
40,8
41,9
42,25
43,5
44,2
45,1
46,5
47,27
48,8
49,32
50,51
51,10
52,62
53,2
54,20
55,33
56,10
57,31
58,27
59,5
60,5
61,33
62,6
64,18
65,2
66,5
68,2
69,20
70,11
71,23
72,2
73,6
74,31
75,3
76,27
77,15
78,4
79,8
80,4
81,53
82,5
83,12
84,1
85,24
86,3
87,13
88,14
89,57
90,20
92,26
93,14
94,30
95,56
96,7
97,33
98,46
99,8
100,4
101,8
102,11
104,26
105,29
106,2
107,2
108,5
109,22
110,26
111,1
112,44
113,2
114,3
115,8
116,13
117,35
118,5
119,16
120,8
121,32
122,3
123,14
124,5
125,5
126,5
127,7
128,9
129,16
130,5
131,12
132,38
133,2
134,7
135,9
136,2
137,3
138,5
139,7
140,5
141,10
142,8
143,4
144,1
145,2
146,7
147,16
148,33
149,10
