segments,segments
0,11
1,1
2,12
4,2
7,3
8,3
9,27
10,16
11,5
14,1
15,2
16,11
17,10
18,5
19,14
20,2
21,10
22,10
23,1
24,1
25,1
26,5
27,32
28,2
29,2
30,4
31,22
32,25
33,7
34,4
35,1
36,24
37,7
38,8
39,1
40,3
41,10
42,6
44,5
45,2
47,3
48,3
49,48
51,2
53,3
54,10
55,40
58,1
59,1
60,3
61,8
62,7
63,3
64,2
65,3
69,20
70,2
71,8
72,1
74,21
75,2
76,11
77,57
78,9
79,1
80,28
81,5
84,5
85,4
87,5
88,4
89,3
90,4
91,21
92,4
93,6
94,16
95,65
96,32
97,6
98,1
99,12
100,9
101,6
102,12
104,2
105,14
106,38
107,1
108,1
110,1
111,2
112,2
114,1
115,1
116,1
117,2
118,1
119,1
120,19
121,18
122,1
125,1
126,17
129,13
130,1
131,10
132,4
133,1
134,1
136,5
138,2
139,4
140,1
141,19
142,5
143,19
144,4
145,65
146,21
147,6
148,1
149,1
150,3
151,14
152,9
153,80
154,3
155,13
157,2
158,9
159,3
160,7
161,1
162,10
164,1
165,1
166,23
167,7
168,2
169,3
170,11
171,6
172,56
173,6
174,1
175,1
176,29
177,18
178,54
179,21
180,1
181,1
182,70
183,3
185,3
187,2
188,5
189,12
191,15
192,10
194,20
195,19
196,3
198,6
199,37
201,4
202,2
203,10
204,1
205,2
206,5
207,46
208,2
209,1
210,1
211,8
213,7
214,9
215,3
217,1
218,1
220,1
221,5
223,8
225,2
226,3
227,7
228,5
229,6
230,16
231,76
232,11
233,1
234,33
235,10
236,6
237,11
238,8
239,3
240,25
242,15
243,5
244,1
245,45
246,14
247,5
248,9
249,1
251,1
252,2
253,1
254,39
255,15
256,16
257,6
258,2
259,13
260,3
261,12
262,31
263,2
264,5
265,6
266,7
267,6
268,2
270,2
271,12
272,4
274,52
275,1
277,1
278,4
279,16
280,2
281,4
282,39
283,1
284,4
287,2
288,18
289,2
290,19
291,2
292,4
293,6
295,19
297,18
299,7
